GENESIS-Tabelle: 46321-0002
Beförderte Güter, Beförderungsleistung (Binnenschifffahrt):;;;;;;;;;
Deutschland, Monate, Hauptverkehrsbeziehungen;;;;;;;;;
Güterverkehrsstatistik der Binnenschifffahrt;;;;;;;;;
Deutschland;;;;;;;;;
;;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen
;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang;Durchgangsverkehr;Durchgangsverkehr
;;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung
;;t;Mill. Tkm;t;Mill. Tkm;t;Mill. Tkm;t;Mill. Tkm
2003;Dezember;4126864;773;3436992;829;8201018;1641;1343647;848
2004;Januar;4124450;794;3962597;1013;8700615;1824;1737245;1083
2004;Februar;4169382;857;4092330;1089;8624648;1879;2336018;1484
2004;März;4707934;976;4696089;1172;9005372;2057;1847580;1191
2004;April;4693788;922;4334797;1118;8327413;1864;2162063;1382
2004;Mai;4412762;884;4390340;1110;8437434;1829;2084886;1329
2004;Juni;4658844;930;4522688;1148;8905635;1959;1976376;1275
2004;Juli;4388924;894;4228246;1118;8801359;2009;2211665;1397
2004;August;4773969;1063;3939248;1089;9018222;2084;1987084;1223
2004;September;4585930;938;4427545;1170;8766885;2019;1984594;1235
2004;Oktober;5031636;1037;4511553;1209;9075388;2092;1991102;1273
2004;November;5053118;1076;4495195;1209;9168743;2182;2072225;1330
2004;Dezember;4608525;925;3754972;963;8265711;1820;1794903;1141
2005;Januar;4415193;932;3994160;1077;9146605;2062;2242742;1401
2005;Februar;4267415;863;4090340;1082;8197456;1890;2175325;1346
2005;März;4595543;1022;4358348;1169;9155586;2045;2220474;1409
