GENESIS-Tabelle: 46131-0004
Beförderte Güter, Beförderungsleistung;;;;;;;;;;;
(Eisenbahngüterverkehr): Deutschland, Monate,;;;;;;;;;;;
Hauptverkehrsbeziehungen;;;;;;;;;;;
Güterverkehrsstatistik der Eisenbahn;;;;;;;;;;;
Deutschland;;;;;;;;;;;
;;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen
;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang;Durchgangsverkehr;Durchgangsverkehr;Insgesamt;Insgesamt
;;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung
;;t;tkm;t;tkm;t;tkm;t;tkm;t;tkm
2014;Oktober;20743003;4933269797;3988570;1779960160;5234802;2080836987;1649943;1074585876;31616318;9868652820
2014;November;19945596;4545687472;3606290;1623184482;4744479;1887066370;1484134;966687385;29780499;9022625709
2014;Dezember;18363248;4320904000;3200277;1414763359;4369245;1741029619;1306339;853024347;27239109;8329721325
2015;Januar;18349725;4414616629;3415421;1531055190;4536685;1763616891;1415122;915521150;27716953;8624809860
2015;Februar;18595647;4480522822;3569462;1603544176;4569413;1804740713;1557904;1003116127;28292426;8891923838
2015;März;21391080;5200407257;3946696;1796455794;5130732;2041692386;1626985;1050463865;32095493;10089019302
2015;April;19911714;4764915611;3534015;1564543404;4565284;1769850147;1572098;997204547;29583111;9096513709
2015;Mai;19557502;4792879643;3399703;1523068940;4153548;1636661038;1524747;984939997;28635500;8937549618
2015;Juni;20819082;5070789578;4238240;1928795952;5154996;2047512273;1809013;1167507831;32021331;10214605634
2015;Juli;21548564;5563790764;4333861;1977842560;5393152;2155968039;1793683;1167756712;33069260;10865358075
2015;August;19293376;4715943451;3338843;1481629998;4537422;1738834109;1387444;906560760;28557085;8842968318
2015;September;19597754;4996028796;4216253;1917178966;5072114;1981043542;1756348;1131569058;30642469;10025820362
2015;Oktober;20901847;5186224761;4015365;1789993979;4959471;1941860514;1661697;1069293573;31538380;9987372827
2015;November;20454733;5084912748;4176409;1862156549;5204363;2050374477;1826025;1188609268;31661530;10186053042
2015;Dezember;17871184;4377539916;3469370;1534936365;4604419;1740232353;1446756;926213157;27391729;8578921791
2016;Januar;17056163;4019962755;3431865;1602105249;4384230;1698067289;1425439;897773982;26297697;8217909275
2016;Februar;18135049;4359696858;3842788;1784228932;4968276;1928122705;1698926;1108158192;28645039;9180206687
2016;März;20168569;4830506738;3943891;1812518351;4835780;1914757097;1877960;1199063117;30826200;9756845303
2016;April;19716783;4736931088;3968130;1820785586;4600039;1833350083;1858829;1210437191;30143781;9601503948
2016;Mai;19289369;4614914888;3780961;1720708954;4399893;1788963594;1747533;1142690109;29217756;9267277545
2016;Juni;19891203;4854835980;4036022;1831049563;4692464;1896096496;1793791;1165642645;30413480;9747624684
2016;Juli;19287269;4676439769;3797839;1718892101;4341976;1711558449;1639309;1065895333;29066393;9172785652
2016;August;19366665;4614700594;3488484;1608454324;4004311;1554835115;1526192;982062292;28385652;8760052325
2016;September;19185368;4616538159;3990285;1799193562;4506563;1782654846;1818376;1162982392;29500592;9361368959
2016;Oktober;19242896;4583479626;3676521;1652125987;4547642;1828653472;1805379;1172371731;29272438;9236630816
2016;November;19572702;4691239835;3833875;1718226709;4607097;1858533913;1746555;1127592943;29760229;9395593400
2016;Dezember;17709038;4262604357;3331902;1480633854;4335663;1729898608;1419991;910921395;26796594;8384058214
2017;Januar;17834782;4222477599;3438509;1567053963;4313074;1751348517;1610533;1033525518;27196898;8574405597
2017;Februar;17726039;4307845721;3786741;1705852968;4767328;1843788997;1778594;1149954553;28058702;9007442239
2017;März;20368855;5019605907;4203730;1916505830;4884272;1972502920;1768795;1157863032;31225652;10066477689
2017;April;18801599;4523112742;3398021;1550285920;3865880;1576179919;1480116;957794254;27545616;8607372835
2017;Mai;19108648;4755434061;3857956;1750688669;4431724;1813063666;1612541;1058829820;29010869;9378016216
2017;Juni;17588507;4512665281;3683373;1647378501;4130310;1658152882;1592069;1044913674;26994259;8863110338
2017;Juli;18346887;4715482234;3782291;1697153861;4334346;1742730306;1654948;1058565446;28118472;9213931847
2017;August;18959299;4551806222;3268133;1462344665;3942886;1546567138;1328420;848686429;27498738;8409404454
2017;September;18789122;4593519614;3406555;1543616122;4020957;1590546590;1367007;864434542;27583641;8592116868
2017;Oktober;18199193;4333706556;3388243;1556943632;4170511;1699878425;1423018;894287660;27180965;8484816273
2017;November;19202601;4654896672;3846914;1762511428;4324268;1799803948;1638129;1038605850;29011912;9255817898
2017;Dezember;17077990;4003534199;3262736;1422332190;3463706;1357256306;1418521;855359799;25222953;7638482494
2018;Januar;19531029;4951652347;3682967;1688294240;4198130;1809087892;1155536;720353062;28567662;9169387541
2018;Februar;18114508;4652710715;3812953;1712979885;3911907;1686361872;1196044;744366014;27035412;8796418486
2018;März;19964510;5067004520;4005410;1814240806;4339827;1838775936;1287719;792929470;29597466;9512950732
2018;April;19874551;5077496386;3769064;1707495307;4161082;1797358797;1196319;749260759;29001016;9331611249
2018;Mai;19522607;4942209133;3708549;1725460835;4036002;1774677443;1279632;784928032;28546790;9227275443
2018;Juni;20234226;5185968442;3888809;1775582331;4211917;1807390237;1407231;853257530;29742183;9622198540
2018;Juli;19665921;5138372460;3784639;1710184489;4182077;1780109497;1241223;764046659;28873860;9392713105
2018;August;19799122;5045197156;3506587;1557908950;4022937;1680222947;1053542;661881563;28382188;8945210616
2018;September;18454939;4861731571;3578829;1648801592;4042622;1728169357;1260215;752860588;27336605;8991563108
2018;Oktober;20149010;5312902764;3976648;1834806454;4653672;1951865922;1360438;838095039;30139768;9937670179
2018;November;19923580;5233509075;3881065;1753301266;4612681;1927841161;1354747;849959425;29772073;9764610927
2018;Dezember;17019118;4362652860;3054432;1390947399;3990576;1674291931;922610;575295361;24986736;8003187551
