GENESIS-Tabelle: 46100-0005
Unternehmen, Beförderte Personen, Personenkilometer;;;;;;;;;;;;;
(Personenverkehr mit Bussen und Bahnen): Deutschland,;;;;;;;;;;;;;
Quartale, Verkehrsart;;;;;;;;;;;;;
Personenverkehr mit Bussen und Bahnen;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;
;;1. Quartal;1. Quartal;1. Quartal;2. Quartal;2. Quartal;2. Quartal;3. Quartal;3. Quartal;3. Quartal;4. Quartal;4. Quartal;4. Quartal
;;Unternehmen;Beförderte Personen;Personenkilometer;Unternehmen;Beförderte Personen;Personenkilometer;Unternehmen;Beförderte Personen;Personenkilometer;Unternehmen;Beförderte Personen;Personenkilometer
;;Anzahl;1000;1000;Anzahl;1000;1000;Anzahl;1000;1000;Anzahl;1000;1000
2016;Liniennahverkehr insgesamt;869;2850297;26756173;869;2827054;26865726;865;2653076;25609660;861;2892044;27456670
2016;Liniennahverkehr mit Eisenbahnen;57;645212;13224536;57;657873;13493533;57;644532;13574642;57;680646;14001834
2016;Liniennahverkehr mit Straßenbahnen;59;1008855;4320125;59;994940;4252383;59;948156;4069288;59;1020935;4364111
2016;Liniennahverkehr mit Omnibussen;816;1372498;9211511;816;1348845;9119809;812;1227000;7965729;808;1368141;9090725
2016;Linienfernverkehr mit Omnibussen;26;5014;1455006;26;5592;1632461;23;6675;2114099;22;5698;1664073
2016;Linienfernverkehr mit Eisenbahnen;2;31885;8960894;2;34600;9802371;2;35158;10282175;2;36835;10309903
2017;Liniennahverkehr insgesamt;844;2904226;26959490;844;2827752;26700818;838;2715125;26116915;832;2892822;27543192
2017;Liniennahverkehr mit Eisenbahnen;57;669814;13344679;57;665393;13575158;57;678597;13920519;57;672668;14105111
2017;Liniennahverkehr mit Straßenbahnen;59;1032836;4390956;59;1010992;4298286;59;971343;4143177;59;1033017;4398694
2017;Liniennahverkehr mit Omnibussen;791;1384345;9223854;791;1331930;8827374;785;1238915;8053219;779;1368518;9039386
2017;Linienfernverkehr mit Omnibussen;21;4702;1302445;20;5844;1711356;19;6552;1978073;20;5692;1663346
2017;Linienfernverkehr mit Eisenbahnen;3;33054;9122593;3;35415;10284364;3;36235;10680715;3;37639;10339115
2018;Liniennahverkehr insgesamt;822;2898328;26892518;819;2852061;26944336;815;2714906;26171150;812;2933219;27498721
2018;Liniennahverkehr mit Eisenbahnen;56;669780;13368304;56;673471;13702294;54;666805;13917334;54;708134;14052653
2018;Liniennahverkehr mit Straßenbahnen;59;1047337;4481239;59;1027665;4390070;59;983921;4213508;59;1055177;4494080
2018;Liniennahverkehr mit Omnibussen;770;1364317;9042975;767;1332239;8851972;764;1237721;8040308;761;1355776;8951988
2018;Linienfernverkehr mit Omnibussen;20;4878;1400157;20;5996;1720915;18;6570;1960739;19;5610;1602116
2018;Linienfernverkehr mit Eisenbahnen;3;34116;9736271;3;36968;10843944;3;39599;11614713;3;37946;10700250
2019;Liniennahverkehr insgesamt;802;2909589;26975494;799;2850896;26743766;796;2749120;26206948;791;2934569;27709083
2019;Liniennahverkehr mit Eisenbahnen;52;687589;13518148;51;688425;13619466;51;691674;13922880;51;704582;14244147
2019;Liniennahverkehr mit Straßenbahnen;58;1045961;4464007;58;1020851;4383267;58;994317;4253702;59;1069290;4557101
2019;Liniennahverkehr mit Omnibussen;752;1359180;8993339;750;1321623;8741034;746;1238824;8030365;744;1347512;8907835
2019;Linienfernverkehr mit Omnibussen;17;4621;1283934;19;5765;1580610;15;5752;1707458;16;5088;1439779
2019;Linienfernverkehr mit Eisenbahnen;2;34581;9857369;2;37731;11247615;2;39821;11944062;2;39274;11654908
__________
"Beförderte Personen:
- Liniennahverkehr insgesamt:
  Unternehmensfahrten.
- Liniennahverkehr mit Eisenbahnen, Straßenbahnen und
  Omnibussen:
  Verkehrsmittelfahrten.

Linienfernverkehr mit Omnibussen:
Nach der Liberalisierung des Linienfernverkehrs mit
Omnibussen zum 1. Januar 2013 werden die neugegründeten
Unternehmen aus rechtlichen Gründen erst ab dem 1. Quartal
2016 in die Quartalserhebung einbezogen.
Um Fehlinterpretationen zu vermeiden, wurden daher bis zum
4. Quartal 2015 keine Ergebnisse für den
Omnibus-Linienfernverkehr nachgewiesen."
© Statistisches Bundesamt (Destatis), 2020
Stand: 19.06.2020 / 12:38:42
