date,BenzinFuelSale_InTsdTonnes,BenzinFuelSale_CO2inTonnes,DieselFuelSale_InTsdTonnes,DieselFuelSale_CO2inTonnes
2004-01,1890.0,5846385384.0,1788.0933609958506,5640979484.181535
2004-02,1938.0,5994865012.799999,1885.6257261410788,5948669274.2278
2004-03,2193.0,6783663040.799999,2334.4552213001384,7364612104.348116
2004-04,2226.0,6885742785.599999,2205.315145228216,6957208030.490561
2004-05,2098.0,6489797108.799999,2058.113520055325,6492824365.883697
2004-06,2094.0,6477423806.4,2223.376694329184,7014187621.239869
2004-07,2166.0,6700143249.599999,2282.979806362379,7202220270.712585
2004-08,2135.0,6604250156.0,2252.2751728907333,7105354966.438763
2004-09,2062.0,6378437387.2,2326.3275242047025,7338971288.510926
2004-10,2150.0,6650650040.0,2233.3105463347165,7045526396.151988
2004-11,2042.0,6316570875.2,2403.992185338866,7583983528.732953
2004-12,2044.0,6322757526.4,2123.1350968188103,6697950892.581206
2005-01,1849.0,5719559034.4,1791.3016368160947,5651100777.888209
2005-02,1725.0,5335986660.0,1832.771126143493,5781926462.731117
2005-03,2013.0,6226864432.799999,2046.4291472433492,6455963143.334794
2005-04,2056.0,6359877433.599999,2269.1022747187267,7158440190.208667
2005-05,2119.0,6554756946.4,2179.8527216010652,6876880564.133714
2005-06,2027.0,6270170991.2,2248.3675300550276,7093027347.787212
2005-07,2031.0,6282544293.599999,2253.7765938803404,7110091567.549332
2005-08,2016.0,6236144409.599999,2292.5415512950826,7232385142.511181
2005-09,1912.0,5914438547.2,2288.0339981073216,7218164959.376081
2005-10,1974.0,6106224734.4,2228.534296028881,7030458541.99278
2005-11,1857.0,5744305639.2,2304.26118958326,7269357618.6624365
2005-12,1851.0,5725745685.599999,1986.9294451649082,6268256725.95149
2006-01,1712.0,5295773427.2,1837.9337736832958,5798213301.825396
2006-02,1635.0,5057587356.0,1811.7163219189988,5715503913.8505125
2006-03,1819.0,5626759266.4,2141.6945941248046,6756501383.189554
2006-04,1837.0,5682439127.2,2023.2640361550496,6382883113.37198
2006-05,1952.0,6038171571.2,2276.3980531896405,7181456514.50878
2006-06,1835.0,5676252476.0,2157.967495219885,6807838244.691205
2006-07,1919.0,5936091826.4,2277.302103250478,7184308562.369981
2006-08,1921.0,5942278477.599999,2273.685903007127,7172900370.925169
2006-09,1869.0,5781425546.4,2334.2572570832613,7363987577.625761
2006-10,1911.0,5911345221.599999,2270.9737528246133,7164344227.341561
2006-11,1823.0,5639132568.799999,2374.0354597601254,7489477683.518686
2006-12,2016.0,6236144409.599999,2226.67529984356,7024593882.142622
2007-01,1552.0,4800841331.2,1808.8892253690767,5706585143.731581
2007-02,1550.0,4794654680.0,1882.9795932413365,5940321398.369937
2007-03,1871.0,5787612197.599999,2244.396021886507,7080498250.2643585
2007-04,1840.0,5691719104.0,2089.8904986406965,6593072646.0794935
2007-05,1886.0,5834012081.599999,2216.386248666506,6992134544.242541
2007-06,1831.0,5663879173.599999,2264.273925461991,7143207977.118551
2007-07,1880.0,5815452128.0,2388.962593344575,7536568991.022127
2007-08,1874.0,5796892174.4,2357.3386558381226,7436803516.481365
2007-09,1750.0,5413319800.0,2211.8685433084415,6977882333.593861
2007-10,1892.0,5852572035.2,2421.4900719226403,7639184907.692626
2007-11,1714.0,5301960078.4,2369.988230840703,7476709706.297669
2007-12,1652.0,5110173891.2,1999.5363914794038,6308028433.105888
2008-01,1645.0,5088520612.0,2053.465692503177,6478161652.828781
2008-02,1589.0,4915294378.4,2098.7960609911056,6621167428.829416
2008-03,1719.0,5317426706.4,2119.648030495553,6686950085.789708
