GENESIS-Tabelle: 46421-0009
Starts, Landungen (Flight Stage): Deutschland, Monate,;;;;;;;;;;;;;;;;;;;;;;;;;;
Berichtsflughafen;;;;;;;;;;;;;;;;;;;;;;;;;;
Verkehrsleistungsstatistik im Luftverkehr;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Januar;Januar;Februar;Februar;März;März;April;April;Mai;Mai;Juni;Juni;Juli;Juli;August;August;September;September;Oktober;Oktober;November;November;Dezember;Dezember
;;;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2013;F-DUS;Düsseldorf;6854;7062;6868;6924;7733;7944;8448;8444;9278;9273;9577;9555;9926;9893;9345;9361;9919;9912;9805;9795;8084;8105;6853;6823
2013;F-ERF;Erfurt;274;277;128;129;238;242;425;430;358;359;443;446;505;468;384;388;433;427;420;436;234;244;175;178
2013;F-FRA;Frankfurt/Main;17335;17186;16590;16529;18331;18272;19353;19362;20666;20643;20737;20724;21377;21367;20973;20980;20885;20933;20952;20983;18610;18643;17085;17183
2013;F-FDH;Friedrichshafen;392;396;371;367;430;429;424;426;447;445;491;490;463;463;457;459;440;438;405;408;342;345;311;311
2013;F-HHN;Hahn;715;718;639;637;845;845;1073;1068;1070;1069;1035;1031;1127;1125;1085;1087;1036;1074;1083;1067;694;687;632;625
2013;F-HAM;Hamburg;4509;4538;4212;4412;5054;4984;5542;5533;5763;5738;5942;5895;6047;6037;5718;5692;6026;6006;6018;6049;5256;5220;4621;4578
2013;F-HAJ;Hannover;2063;2073;2202;2185;2566;2567;3094;3099;3258;3269;3275;3258;3224;3252;3205;3221;3141;3136;3120;3124;2419;2406;1942;1918
2013;F-FKB;Karlsruhe;563;573;509;504;791;789;955;958;1007;987;1043;1038;1187;1184;998;994;948;950;913;910;648;641;551;540
2013;F-CGN;Köln/Bonn;3551;3613;3407;3468;3945;4035;4376;4401;4852;4887;4876;4963;5115;5098;4954;5015;5077;5159;5161;5210;4124;4201;3772;3741
2013;F-LEJ;Leipzig/Halle;2160;2129;1987;1986;2205;2206;2311;2297;2537;2515;2478;2473;2606;2592;2521;2517;2670;2602;2876;2773;2342;2358;2142;2114
2013;F-LBC;Lübeck;189;189;181;181;286;286;393;393;474;474;496;496;430;430;422;422;377;377;376;376;267;267;133;133
2013;F-FMM;Memmingen;210;211;209;210;294;288;388;385;457;453;417;416;436;429;431;425;448;449;471;470;224;237;292;296
2013;F-MUC;München;13584;13478;13848;13747;15337;15298;15516;15476;16416;16387;16619;16612;16842;16833;15819;15770;16848;16846;16791;16789;15059;15065;13410;13466
2013;F-FMO;Münster/Osnabrück;352;364;348;356;469;474;558;559;566;576;624;622;651;662;637;649;653;647;648;654;454;464;390;389
2013;F-NRN;Niederrhein;518;518;481;478;627;625;947;949;954;957;937;933;981;977;1003;1004;930;933;985;984;553;554;457;462
2013;F-NUE;Nürnberg;1668;1704;1786;1793;2117;2138;2151;2190;2062;2076;2116;2150;2208;2239;1996;2007;2085;2154;2026;2054;1739;1774;1536;1555
2013;F-PAD;Paderborn/Lippstadt;229;226;285;295;347;337;311;325;452;448;475;478;451;460;405;409;437;445;464;464;309;310;249;247
2013;F-RLG;Rostock-Laage;376;378;464;463;659;657;929;934;1300;1306;1385;1383;1401;1406;677;673;635;636;557;565;352;349;137;137
2013;F-SCN;Saarbrücken;388;386;434;435;568;565;553;429;641;640;528;525;488;491;522;521;483;484;460;458;319;317;244;245
2013;F-STR;Stuttgart;3636;3597;3656;3610;4770;4743;5140;4677;5416;5369;5923;5930;5860;5893;5570;5527;5789;5806;5096;5511;4221;4205;3813;3782
2013;F-GWT;Sylt-Westerland;49;47;57;58;118;120;217;215;389;388;365;367;609;610;632;629;373;374;255;254;70;72;72;74
2013;F-ZQW;Zweibrücken;138;144;83;82;157;163;189;191;187;188;320;323;290;299;214;218;221;249;148;150;102;106;62;65
2013;;Insgesamt;70449;70450;69075;69149;80177;80238;86461;85901;92480;92350;94321;94283;96506;96511;91299;91319;93928;94095;93068;93574;78489;78670;69842;69811
2014;F-SXF;Berlin-Schönefeld;2108;2099;2152;2132;2457;2424;2624;2621;2914;2926;2851;2826;2717;2678;2675;2685;2805;2805;2919;2907;2476;2489;2412;2395
2014;F-TXL;Berlin-Tegel;6224;6221;6215;6215;7157;7156;7271;7265;8028;8033;7906;7908;7971;7972;7727;7722;8040;8042;8020;8006;7062;7072;6506;6496
2014;F-BRE;Bremen;1279;1276;1301;1306;1437;1437;1539;1532;1698;1702;1741;1739;1799;1804;1578;1583;1766;1776;1743;1743;1418;1429;1226;1220
2014;F-DTM;Dortmund;666;674;641;648;770;772;786;789;886;895;912;914;947;953;874;880;950;949;901;893;740;749;596;601
2014;F-DRS;Dresden;672;675;674;677;808;814;799;795;951;952;1018;1028;1039;1030;988;985;1177;1178;1191;1199;959;971;855;858
2014;F-DUS;Düsseldorf;7171;7162;6979;6984;8061;8042;8270;8236;9386;9371;9326;9350;9551;9509;9442;9489;9749;9751;9490;9591;7984;8018;7231;7215
2014;F-ERF;Erfurt;201;202;294;293;305;312;285;272;354;354;398;398;388;389;401;407;320;318;429;436;235;240;185;173
2014;F-FRA;Frankfurt/Main;17556;17467;16490;16493;18802;18797;18539;18559;20902;20899;20666;20683;21147;21109;21088;21105;20926;20955;20614;20671;18232;18247;16202;16317
2014;F-FDH;Friedrichshafen;383;379;329;330;374;373;346;354;418;421;461;467;495;494;496;494;479;473;437;435;338;337;288;291
2014;F-HHN;Hahn;644;638;599;590;656;659;894;884;921;910;860;855;924;911;918;913;917;916;941;935;694;684;621;619
2014;F-HAM;Hamburg;4754;4745;4750;4731;5483;5471;5662;5624;6359;6347;6239;6236;6412;6393;6199;6212;6450;6425;6492;6494;5722;5719;5168;5130
2014;F-HAJ;Hannover;2203;2211;2235;2228;2644;2626;3100;3093;3167;3143;2983;2981;3083;3085;3201;3200;3092;3101;3030;3039;2405;2428;1908;1913
2014;F-FKB;Karlsruhe;573;568;648;636;765;746;678;670;723;699;807;794;685;676;720;719;878;869;762;753;531;544;437;431
2014;F-CGN;Köln/Bonn;3756;3778;3540;3550;4036;4054;4383;4371;5036;5061;5004;5054;5371;5361;5039;5159;5351;5385;5171;5257;4119;4191;3961;3974
2014;F-LEJ;Leipzig/Halle;2206;2171;2098;2098;2303;2292;2337;2307;2568;2563;2538;2504;2646;2640;2570;2550;2610;2597;2713;2726;2386;2387;2342;2332
2014;F-LBC;Lübeck;164;164;250;250;311;311;313;313;366;366;406;406;429;429;331;331;361;361;306;306;211;211;117;117
2014;F-FMM;Memmingen;246;247;339;339;342;341;391;382;374;372;430;426;432;427;385;386;418;422;400;400;254;259;260;268
2014;F-MUC;München;13489;13394;13820;13782;15597;15576;14511;14490;16248;16229;16196;16168;16727;16704;15644;15589;16720;16714;16560;16543;15052;15051;13298;13349
2014;F-FMO;Münster/Osnabrück;429;438;485;487;539;546;501;520;646;655;757;764;766;791;736;758;726;773;702;714;504;513;372;376
2014;F-NRN;Niederrhein;472;471;411;412;490;492;633;639;656;655;600;598;654;653;645;645;658;663;670;675;449;450;381;381
2014;F-NUE;Nürnberg;1516;1571;1588;1605;1751;1794;1610;1635;1846;1876;1894;1926;1949;1963;1999;2019;2027;2089;1907;1951;1643;1695;1377;1417
2014;F-PAD;Paderborn/Lippstadt;251;254;254;253;285;293;325;324;408;401;430;437;436;429;414;407;457;459;428;434;299;312;240;244
2014;F-RLG;Rostock-Laage;245;248;422;422;441;443;388;388;656;658;570;578;560;566;486;485;465;462;448;450;365;363;173;171
2014;F-SCN;Saarbrücken;301;300;303;301;365;363;497;498;345;345;363;364;474;473;393;395;383;382;402;401;382;314;288;286
2014;F-STR;Stuttgart;3715;3692;3947;3904;4739;4693;4790;4735;5464;5430;5576;5503;5639;5571;5544;5495;5616;5591;4817;4810;4276;4256;3637;3595
2014;F-GWT;Sylt-Westerland;70;67;52;53;95;94;273;274;339;342;403;402;646;645;457;458;342;342;245;245;89;87;81;84
2014;F-ZQW;Zweibrücken;54;54;84;80;131;134;112;122;177;185;208;218;216;207;195;196;213;224;174;189;33;34;-;-
2014;;Insgesamt;71348;71166;70900;70799;81144;81055;81857;81692;91836;91790;91543;91527;94103;93862;91145;91267;93896;94022;91912;92203;78858;79050;70162;70253
2015;F-SXF;Berlin-Schönefeld;2231;2219;2290;2289;2662;2666;2826;2834;2920;2898;3138;3120;2826;2813;2708;2689;3041;3032;3268;3264;3411;3429;3231;3220
2015;F-TXL;Berlin-Tegel;6415;6419;6191;6187;7231;7214;7474;7476;7947;7960;7936;7933;8048;8020;7848;7851;8147;8145;8147;8161;7117;7111;6783;6784
2015;F-BRE;Bremen;1200;1202;1164;1167;1420;1422;1481;1481;1549;1552;1590;1587;1531;1528;1477;1479;1622;1628;1607;1608;1235;1240;1145;1144
2015;F-DTM;Dortmund;561;564;606;613;762;757;886;883;952;974;885;888;895;897;918;926;916;919;863;871;741;741;649;649
2015;F-DRS;Dresden;831;832;793;787;910;913;859;862;965;962;1008;1012;999;1002;959;964;1029;1031;1018;1035;845;847;776;779
2015;F-DUS;Düsseldorf;7043;7127;6871;6875;8198;8204;8300;8363;9246;9246;9560;9556;9640;9650;9447;9508;9658;9713;9525;9645;7719;7781;7079;7095
2015;F-ERF;Erfurt;189;186;269;271;346;340;279;284;367;370;441;433;370;320;326;324;382;381;277;293;279;286;179;187
