date,ECO_MDAX
2013-11,16147.787109380952
2013-12,16149.763292166666
2014-01,16612.22163545454
2014-02,16621.899560650003
2014-03,16418.920108000002
2014-04,16244.296093849998
2014-05,16450.173781714286
2014-06,16931.807291666668
2014-07,16424.953846826083
2014-08,15788.463867190474
2014-09,16138.496315681818
2014-10,15417.2722835
2014-11,16498.0139649
2014-12,16798.842054
2015-01,17761.794363904763
2015-02,19315.040527499998
2015-03,20549.887429000006
2015-04,21116.6094727
2015-05,20592.945826578954
2015-06,20012.899946772726
2015-07,20379.73462978261
2015-08,20334.662016476188
2015-09,19411.43607954546
2015-10,20131.232155727277
2015-11,21133.980375809522
2015-12,20735.35908225
2016-01,19308.0890626
2016-02,18706.27334447619
2016-03,19914.64899561904
2016-04,20304.305431619054
2016-05,20286.678199476188
