date,ECO_DAX
2007-07,7888.8513628636365
2007-08,7463.643469695652
2007-09,7638.45
2007-10,7950.703485826086
2007-11,7715.145907363635
2007-12,7941.909955117648
2008-01,7323.653631
2008-02,6886.684291428571
2008-03,6499.59372431579
2008-04,6762.712668636365
2008-05,7056.119977619047
2008-06,6716.835705095238
2008-07,6341.488260000001
2008-08,6421.488095285713
2008-09,6135.594082818183
2008-10,4946.95129926087
2008-11,4691.9925049
2008-12,4657.875282578947
2009-01,4534.168131476191
2009-02,4265.00750735
2009-03,3969.150912136364
2009-04,4519.140454150001
2009-05,4886.36249995
2009-06,4930.824529500001
2009-07,4949.607358043478
2009-08,5395.204287571428
2009-09,5583.973166818181
2009-10,5680.036865363635
2009-11,5642.160016714285
2009-12,5836.550463900001
2010-01,5863.22099605
2010-02,5586.0219971000015
2010-03,5965.04696
2010-04,6215.2920165
2010-05,5966.352887904761
2010-06,6080.795920681819
2010-07,6061.310458000001
2010-08,6122.403653181818
2010-09,6214.873646181819
2010-10,6436.313244142858
2010-11,6744.414528545455
2010-12,6991.864327476191
2011-01,7039.681408190476
2011-02,7294.1554932499985
2011-03,6952.815641956521
2011-04,7227.048982368419
2011-05,7330.603182727273
2011-06,7158.676824318181
2011-07,7292.776227619047
2011-08,5923.825641086958
2011-09,5402.265469681817
2011-10,5896.53847655
2011-11,5826.460471454545
2011-12,5867.767578190476
2012-01,6278.337735272727
2012-02,6789.551432333332
2012-03,6966.535888590909
2012-04,6731.917351842105
2012-05,6424.774569499999
2012-06,6184.003836333334
2012-07,6549.640469772727
2012-08,6949.782205304348
2012-09,7274.3959715500005
2012-10,7286.6195400454535
2012-11,7238.576349454545
2012-12,7576.161764705881
2013-01,7747.5654518636375
2013-02,7666.718041850002
2013-03,7913.877563550001
2013-04,7723.049944238095
2013-05,8317.427756590909
2013-06,8089.1475343
2013-07,8161.835173304347
2013-08,8332.462357954546
2013-09,8497.838588238095
2013-10,8809.700417272727
2013-11,9170.552548428574
2013-12,9235.013943166667
2014-01,9516.784179772727
2014-02,9507.993505850001
2014-03,9339.498604904762
2014-04,9489.9055177
2014-05,9709.517578142857
2014-06,9927.434384333334
2014-07,9751.789444695652
2014-08,9273.08045009524
2014-09,9638.676757818183
2014-10,8971.847168
2014-11,9490.321484350003
2014-12,9812.338918631578
2015-01,10138.389602000001
2015-02,10977.13959965
2015-03,11784.850452954546
2015-04,11956.2880371
2015-05,11599.09369873684
2015-06,11236.295809727271
2015-07,11288.050441608695
2015-08,10817.977632142858
2015-09,9953.261896363636
2015-10,10222.309481636361
2015-11,10986.275809095237
2015-12,10673.0138671
2016-01,9827.091943399999
2016-02,9291.37862742857
2016-03,9859.880440952382
2016-04,10023.216657428571
2016-05,10010.54766552381
2016-06,9859.148659409095
2016-07,9960.520972952381
2016-08,10530.252590130434
2016-09,10504.490900272725
2016-10,10624.158545100003
2016-11,10595.529962727273
2016-12,11214.897600476192
2017-01,11620.112171499999
2017-02,11745.425000000001
2017-03,12047.632175695651
2017-04,12232.555555555557
2017-05,12661.045898454544
2017-06,12710.548642095237
2017-07,12397.470842619052
2017-08,12153.805197173911
2017-09,12479.53380757143
2017-10,13012.077539000002
2017-11,13159.37455618182
2017-12,13079.901572684208
2018-01,13270.66730290909
2018-02,12459.364062449999
2018-03,12165.939081095239
2018-04,12411.59755875
2018-05,12911.16229542857
2018-06,12667.554269095233
2018-07,12581.671830636364
2018-08,12458.92081352174
2018-09,12185.244970750002
2018-10,11659.08362918182
2018-11,11359.625088818178
2018-12,10834.544692176472
2019-01,10968.887340181818
2019-02,11280.836474550002
2019-03,11542.591936428571
2019-04,12067.9780274
2019-05,12079.569557954545
2019-06,12164.201017736843
2019-07,12406.857421913042
2019-08,11719.74951177273
2019-09,12285.253441238097
2019-10,12538.201837727274
2019-11,13200.82952009524
2019-12,13193.275607777776
2020-01,13370.52352631818
2020-02,13330.55053705
2020-03,10034.256747227273
2020-04,10374.5069823
2020-05,10993.7410156
2020-06,12351.143855000002
