GENESIS-Tabelle: 46331-0004;;;;;;;;;
Umgeschlagene Güter (Seeverkehr): Deutschland, Monate,;;;;;;;;;
Güterabteilungen, Hauptverkehrsbeziehungen,;;;;;;;;;
Flagge des Schiffes;;;;;;;;;
Seeverkehrsstatistik;;;;;;;;;
Deutschland;;;;;;;;;
;;;;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter
;;;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang
;;;;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes
;;year;month;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge
;;;;t;t;t;t;t;t
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2015;November;10989;26250;20518;499253;45277;1188036
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2015;Dezember;18251;34776;18447;810820;59025;1202687
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2016;Januar;3999;26461;11022;742791;37537;991670
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2016;Februar;7476;22379;16502;1041913;30165;1045614
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2016;März;12457;34266;13911;1226843;24741;1105236
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2016;April;15502;72435;10633;1327049;40849;1090059
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2016;Mai;5895;29730;19056;944661;28669;1163059
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2016;Juni;29861;56283;13955;928535;32341;965542
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2016;Juli;11656;33049;9422;898499;28450;955893
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2016;August;16001;22548;18584;517717;44266;901167
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2016;September;14393;25824;17055;698777;38262;941833
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2016;Oktober;3872;111749;24098;413137;30575;976539
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2016;November;9746;14535;23209;645977;44627;983096
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2016;Dezember;19241;22334;15519;965628;29587;951758
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2017;Januar;5203;49795;23459;1104135;56901;953396
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2017;Februar;5585;19448;20414;676574;29461;870000
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2017;März;11474;26998;19295;1147436;40029;920076
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2017;April;14057;75764;16729;1071565;47749;887230
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2017;Mai;1546;37084;12738;869335;66373;985600
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2017;Juni;6497;26079;12842;647756;52952;863955
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2017;Juli;7138;26515;14057;567070;69760;916153
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2017;August;27938;38979;15789;556826;47332;853380
