GENESIS-Tabelle: 46331-0004;;;;;;;;;
Umgeschlagene Güter (Seeverkehr): Deutschland, Monate,;;;;;;;;;
Güterabteilungen, Hauptverkehrsbeziehungen,;;;;;;;;;
Flagge des Schiffes;;;;;;;;;
Seeverkehrsstatistik;;;;;;;;;
Deutschland;;;;;;;;;
;;;;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter
;;;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang
;;;;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes
;;year;month;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge
;;;;t;t;t;t;t;t
NST7-10;Metalle und Metallerzeugnisse;2014;April;2035;8408;75126;1005887;48247;462218
NST7-10;Metalle und Metallerzeugnisse;2014;Mai;3381;8116;94943;1065992;40399;407467
NST7-10;Metalle und Metallerzeugnisse;2014;Juni;3527;3001;79933;954491;37658;418542
NST7-10;Metalle und Metallerzeugnisse;2014;Juli;8980;3734;117650;1033808;37916;484587
NST7-10;Metalle und Metallerzeugnisse;2014;August;3701;2730;114608;1118957;48895;496977
NST7-10;Metalle und Metallerzeugnisse;2014;September;3522;6794;90298;1033244;34643;565433
NST7-10;Metalle und Metallerzeugnisse;2014;Oktober;2982;1837;101302;941996;45298;484837
NST7-10;Metalle und Metallerzeugnisse;2014;November;1494;2922;46178;765063;30489;490438
NST7-10;Metalle und Metallerzeugnisse;2014;Dezember;1281;2533;90767;1018795;29034;478047
NST7-10;Metalle und Metallerzeugnisse;2015;Januar;1946;5816;62299;908464;45025;478483
NST7-10;Metalle und Metallerzeugnisse;2015;Februar;936;7359;46363;630999;26959;487476
NST7-10;Metalle und Metallerzeugnisse;2015;März;502;3112;47074;1038072;55607;508140
NST7-10;Metalle und Metallerzeugnisse;2015;April;820;2239;33129;985449;29607;453842
NST7-10;Metalle und Metallerzeugnisse;2015;Mai;1445;1031;67919;883865;38484;547713
NST7-10;Metalle und Metallerzeugnisse;2015;Juni;3397;2768;86970;964503;44005;442477
NST7-10;Metalle und Metallerzeugnisse;2015;Juli;3659;5414;60723;889498;42841;922571
NST7-10;Metalle und Metallerzeugnisse;2015;August;3381;3311;85592;799810;44987;404301
NST7-10;Metalle und Metallerzeugnisse;2015;September;1329;1124;74187;886119;32229;551156
NST7-10;Metalle und Metallerzeugnisse;2015;Oktober;797;15322;59429;858930;27376;469262
NST7-10;Metalle und Metallerzeugnisse;2015;November;1014;15542;66469;661938;31163;354471
NST7-10;Metalle und Metallerzeugnisse;2015;Dezember;1258;45449;69427;775532;34203;387193
NST7-10;Metalle und Metallerzeugnisse;2016;Januar;2483;9825;14409;415855;22047;416240
NST7-10;Metalle und Metallerzeugnisse;2016;Februar;671;11863;38688;483446;33110;417676
NST7-10;Metalle und Metallerzeugnisse;2016;März;1761;12158;35041;529552;29163;433604
NST7-10;Metalle und Metallerzeugnisse;2016;April;860;7301;38519;601132;26824;381820
NST7-10;Metalle und Metallerzeugnisse;2016;Mai;746;6503;64688;552505;51063;433056
NST7-10;Metalle und Metallerzeugnisse;2016;Juni;1185;3896;60043;659263;24840;395590
NST7-10;Metalle und Metallerzeugnisse;2016;Juli;865;5687;39310;577100;19050;462198
NST7-10;Metalle und Metallerzeugnisse;2016;August;977;8274;55186;467555;43272;451257
NST7-10;Metalle und Metallerzeugnisse;2016;September;4306;2499;33194;481375;24152;530119
NST7-10;Metalle und Metallerzeugnisse;2016;Oktober;15003;5697;33323;455418;24443;397562
NST7-10;Metalle und Metallerzeugnisse;2016;November;1316;7011;37730;523181;37116;439667
NST7-10;Metalle und Metallerzeugnisse;2016;Dezember;1711;7901;39024;535920;23562;454175
NST7-10;Metalle und Metallerzeugnisse;2017;Januar;1419;12639;44797;425289;43677;436825
NST7-10;Metalle und Metallerzeugnisse;2017;Februar;694;14665;37711;426229;27741;363188
NST7-10;Metalle und Metallerzeugnisse;2017;März;2301;10227;41235;497666;29728;473307
NST7-10;Metalle und Metallerzeugnisse;2017;April;1224;1279;38370;530494;40904;397907
NST7-10;Metalle und Metallerzeugnisse;2017;Mai;2893;4948;27341;539462;26118;475757
NST7-10;Metalle und Metallerzeugnisse;2017;Juni;4385;6851;26234;513808;23519;462055
NST7-10;Metalle und Metallerzeugnisse;2017;Juli;2495;7966;25177;628150;15095;517549
NST7-10;Metalle und Metallerzeugnisse;2017;August;2663;10743;26221;557281;18088;520869
NST7-10;Metalle und Metallerzeugnisse;2017;September;2181;9503;24990;587538;18778;505224
NST7-10;Metalle und Metallerzeugnisse;2017;Oktober;953;24940;22285;482092;18747;471550
NST7-10;Metalle und Metallerzeugnisse;2017;November;1347;27928;89744;588974;16665;531381
NST7-10;Metalle und Metallerzeugnisse;2017;Dezember;1133;22913;28314;561904;62621;554500
NST7-10;Metalle und Metallerzeugnisse;2018;Januar;754;5856;85970;472904;14638;523222
NST7-10;Metalle und Metallerzeugnisse;2018;Februar;1138;1613;84940;457585;13519;468341
NST7-10;Metalle und Metallerzeugnisse;2018;März;796;22593;67422;508376;16803;441970
NST7-10;Metalle und Metallerzeugnisse;2018;April;1134;7949;17001;486330;15014;534938
NST7-10;Metalle und Metallerzeugnisse;2018;Mai;3834;9225;44934;580516;20391;511344
NST7-10;Metalle und Metallerzeugnisse;2018;Juni;3464;3234;38952;488222;14976;459828
NST7-10;Metalle und Metallerzeugnisse;2018;Juli;1847;9814;14506;424091;7814;316311
NST7-10;Metalle und Metallerzeugnisse;2018;August;8689;25332;21061;445974;9431;456489
NST7-10;Metalle und Metallerzeugnisse;2018;September;8425;27670;11124;402870;5990;384612
NST7-10;Metalle und Metallerzeugnisse;2018;Oktober;4352;53213;18132;433000;12579;445762
NST7-10;Metalle und Metallerzeugnisse;2018;November;9393;5617;40338;482739;16934;331027
NST7-10;Metalle und Metallerzeugnisse;2018;Dezember;7968;1231;80866;505029;8328;293940
NST7-10;Metalle und Metallerzeugnisse;2019;Januar;266;7200;22029;414609;12562;390335
NST7-10;Metalle und Metallerzeugnisse;2019;Februar;474;6030;16189;406912;15844;393395
NST7-10;Metalle und Metallerzeugnisse;2019;März;-;3214;16257;585620;7453;416348
NST7-10;Metalle und Metallerzeugnisse;2019;April;27;4696;30780;566891;18073;277663
NST7-10;Metalle und Metallerzeugnisse;2019;Mai;79;5027;17643;492432;21172;430712
NST7-10;Metalle und Metallerzeugnisse;2019;Juni;324;8668;17557;560882;13569;388896
NST7-10;Metalle und Metallerzeugnisse;2019;Juli;146;3174;18847;512296;15233;420820
NST7-10;Metalle und Metallerzeugnisse;2019;August;957;4896;21361;587278;19019;369155
NST7-10;Metalle und Metallerzeugnisse;2019;September;2441;213169;19910;475031;15701;379125
NST7-10;Metalle und Metallerzeugnisse;2019;Oktober;805;155388;17126;457190;12087;281610
NST7-10;Metalle und Metallerzeugnisse;2019;November;600;78270;30965;428954;15325;313390
NST7-10;Metalle und Metallerzeugnisse;2019;Dezember;692;177609;18966;411475;9652;203048
NST7-10;Metalle und Metallerzeugnisse;2020;Januar;2730;559;11122;382494;10586;410564
NST7-10;Metalle und Metallerzeugnisse;2020;Februar;-;2794;21171;437969;11386;362639
NST7-10;Metalle und Metallerzeugnisse;2020;März;...;...;...;...;...;...
NST7-10;Metalle und Metallerzeugnisse;2020;April;...;...;...;...;...;...
NST7-10;Metalle und Metallerzeugnisse;2020;Mai;...;...;...;...;...;...
NST7-10;Metalle und Metallerzeugnisse;2020;Juni;...;...;...;...;...;...
NST7-10;Metalle und Metallerzeugnisse;2020;Juli;...;...;...;...;...;...
NST7-10;Metalle und Metallerzeugnisse;2020;August;...;...;...;...;...;...
NST7-10;Metalle und Metallerzeugnisse;2020;September;...;...;...;...;...;...
NST7-10;Metalle und Metallerzeugnisse;2020;Oktober;...;...;...;...;...;...
NST7-10;Metalle und Metallerzeugnisse;2020;November;...;...;...;...;...;...
NST7-10;Metalle und Metallerzeugnisse;2020;Dezember;...;...;...;...;...;...
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2011;Januar;4168;7147;65865;545236;57160;464724
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2011;Februar;3851;1529;69000;620682;41037;434530
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2011;März;6490;1320;63087;637425;49119;392422
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2011;April;10354;2141;65460;653491;51981;455463
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2011;Mai;8762;2648;81239;688063;77727;476672
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2011;Juni;4040;4551;64075;639117;61857;424869
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2011;Juli;9208;3570;74177;638632;84821;458719
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2011;August;7920;3419;81637;642549;87868;479861
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2011;September;6779;4907;68265;606635;64149;496609
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2011;Oktober;8209;2498;69498;667100;70957;510238
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2011;November;5221;3678;58103;635674;55555;464773
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2011;Dezember;11362;4837;59970;595281;50720;442687
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2012;Januar;6010;5605;61324;624711;52591;504646
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2012;Februar;6981;8669;65650;613585;52644;498238
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2012;März;10354;8899;56194;626083;58370;453471
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2012;April;11879;2583;58216;713167;50465;445623
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2012;Mai;12678;3737;54499;777641;32517;515531
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2012;Juni;11674;6043;77782;736516;52040;482679
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2012;Juli;10175;4257;52421;674140;48499;507663
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2012;August;5158;4086;54630;627137;45437;454769
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2012;September;4758;9078;58326;587047;42778;429391
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2012;Oktober;11953;5573;60438;594071;38089;471425
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2012;November;11438;18795;50576;512200;32303;394937
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2012;Dezember;6087;7247;58081;571825;45286;454591
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2013;Januar;3255;3471;49006;523610;32799;464724
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2013;Februar;5469;5880;69580;627285;45704;505718
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2013;März;9221;2901;56766;633687;50303;495745
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2013;April;7240;9164;65135;632694;30344;423964
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2013;Mai;10285;17339;53642;598606;35358;502094
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2013;Juni;9759;7016;51717;674116;35198;521810
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2013;Juli;10200;132931;79244;827521;51741;662029
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2013;August;8162;5368;57402;599987;29729;457088
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2013;September;4957;6633;62196;629316;44117;550730
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2013;Oktober;8655;45398;41200;656032;33213;500844
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2013;November;10479;22287;58461;639706;32272;445154
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2013;Dezember;9076;45936;45321;538299;26811;399725
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2014;Januar;9362;19795;38439;516254;25213;460270
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2014;Februar;9777;10238;60576;549218;48538;479504
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2014;März;13788;56739;49374;559980;28365;400533
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2014;April;6902;73103;39006;621063;44844;458009
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2014;Mai;12902;25324;60478;592057;47402;551277
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2014;Juni;7629;40468;55167;606107;42300;589680
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2014;Juli;11940;4809;70084;610216;36226;427088
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2014;August;12209;2694;78686;635733;63130;592908
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2014;September;11368;22272;48403;594378;29927;463688
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2014;Oktober;13911;8923;68177;611589;51459;484920
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2014;November;13315;5135;44132;589703;35400;524221
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2014;Dezember;10298;72620;44344;556751;23060;378108
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2015;Januar;9177;163513;37504;541086;37476;440593
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2015;Februar;5932;49799;37570;555942;19405;417672
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2015;März;7114;166626;44973;689993;37274;493417
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2015;April;11395;155676;40781;634221;19670;549659
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2015;Mai;21494;175581;39622;709025;26925;821982
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2015;Juni;8617;391122;49593;620072;28443;888711
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2015;Juli;10640;237038;39435;603086;16974;761650
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2015;August;10858;112312;36995;469381;29713;389535
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2015;September;16503;139747;42437;484900;25730;460596
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2015;Oktober;8947;132739;22169;450085;12588;463229
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2015;November;6034;88802;29268;446576;25862;384148
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2015;Dezember;16883;164915;38912;480642;32661;410257
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2016;Januar;3864;163876;12380;330394;15542;385089
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2016;Februar;6868;83853;30591;431309;20287;419192
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2016;März;10674;171810;23090;417837;23619;394695
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2016;April;7055;105865;18016;359241;20330;304412
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2016;Mai;8360;155294;19214;417021;24225;460178
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2016;Juni;8632;112476;15300;326047;12917;379408
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2016;Juli;6580;225780;15027;496306;13759;528169
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2016;August;9307;124540;23941;356155;29544;518545
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2016;September;9788;121252;21121;337889;19077;431736
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2016;Oktober;7750;98398;24854;339324;15610;348419
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2016;November;12582;81693;27734;406142;25739;377205
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2016;Dezember;8071;138043;22187;386168;11982;389016
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2017;Januar;3942;83198;26628;342264;28315;396590
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2017;Februar;5001;94775;20095;337262;15556;455489
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2017;März;8005;80943;30168;349931;20166;462623
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2017;April;6519;101988;18198;290974;28075;448589
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2017;Mai;10273;211536;17870;365682;15777;537132
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2017;Juni;13961;210394;14318;454188;7682;588719
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2017;Juli;13721;152321;14006;425376;7450;654072
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2017;August;10676;139559;15776;374818;8221;449978
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2017;September;9114;129924;13727;335449;8455;489990
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2017;Oktober;9162;231944;13332;327613;8645;523017
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2017;November;6851;192197;12006;366875;6402;404367
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2017;Dezember;4020;139475;16977;360565;8772;542864
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2018;Januar;4076;155344;12036;379876;6792;473081
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2018;Februar;5092;306092;17039;492839;4049;750809
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2018;März;7234;186745;14862;482373;6746;685933
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2018;April;6935;197808;17848;439267;4990;464334
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2018;Mai;6923;130123;10745;394936;4042;565853
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2018;Juni;4514;126790;9629;390427;2505;483759
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2018;Juli;2538;196065;17504;408306;3129;386576
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2018;August;7143;188407;6054;382473;5424;619524
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2018;September;10265;51201;9543;408910;2655;524452
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2018;Oktober;5966;81373;11054;520153;1890;853616
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2018;November;5316;147619;10468;432665;2159;598826
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2018;Dezember;4640;144077;11819;403033;4945;400691
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2019;Januar;3212;1933;11835;160402;3166;410700
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2019;Februar;729;4179;12079;209899;21676;392747
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2019;März;906;5634;11226;213719;1873;365364
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2019;April;637;4734;12888;198061;17724;245738
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2019;Mai;467;4557;13617;214530;13595;437832
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2019;Juni;567;3522;12084;198701;8972;366098
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2019;Juli;246;6881;13574;255306;16186;430152
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2019;August;960;1012;12997;197774;8955;383491
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2019;September;1233;4471;14736;194468;13938;350748
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2019;Oktober;1358;6417;13428;195521;6789;207304
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2019;November;990;7724;12133;169404;13493;323612
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2019;Dezember;1222;4432;13844;154566;5458;175212
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2020;Januar;2232;-;10321;140575;2395;419070
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2020;Februar;1627;2826;10706;170571;14908;340871
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2020;März;...;...;...;...;...;...
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2020;April;...;...;...;...;...;...
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2020;Mai;...;...;...;...;...;...
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2020;Juni;...;...;...;...;...;...
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2020;Juli;...;...;...;...;...;...
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2020;August;...;...;...;...;...;...
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2020;September;...;...;...;...;...;...
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2020;Oktober;...;...;...;...;...;...
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2020;November;...;...;...;...;...;...
NST7-11;Maschinen und Ausrüstungen, Haushaltsgeräte etc.;2020;Dezember;...;...;...;...;...;...
NST7-12;Fahrzeuge;2011;Januar;25818;624;42564;534237;20772;262152
NST7-12;Fahrzeuge;2011;Februar;27024;948;30742;559849;16726;221984
NST7-12;Fahrzeuge;2011;März;49398;566;31524;628610;19361;275378
NST7-12;Fahrzeuge;2011;April;76259;407;32278;650734;16640;269489
NST7-12;Fahrzeuge;2011;Mai;55424;2655;32394;666432;23464;256499
NST7-12;Fahrzeuge;2011;Juni;3005;1272;29534;562535;17359;239078
NST7-12;Fahrzeuge;2011;Juli;76820;1898;37898;625947;23569;260022
NST7-12;Fahrzeuge;2011;August;85121;2978;37515;564533;25055;251277
NST7-12;Fahrzeuge;2011;September;68441;3550;22844;650790;18930;293667
NST7-12;Fahrzeuge;2011;Oktober;66643;3345;36456;651762;20508;264629
NST7-12;Fahrzeuge;2011;November;52536;2399;29426;671137;17414;276503
NST7-12;Fahrzeuge;2011;Dezember;104178;1231;24898;660356;19027;267001
NST7-12;Fahrzeuge;2012;Januar;44960;2504;23012;577488;17671;255621
NST7-12;Fahrzeuge;2012;Februar;38042;4627;23798;656492;17735;257285
NST7-12;Fahrzeuge;2012;März;65158;2410;21933;723558;19244;277069
NST7-12;Fahrzeuge;2012;April;70448;2387;22970;649716;19860;267375
NST7-12;Fahrzeuge;2012;Mai;78586;709;21503;691039;11108;262365
NST7-12;Fahrzeuge;2012;Juni;57479;727;23348;667861;17682;279233
NST7-12;Fahrzeuge;2012;Juli;86168;620;20607;713429;15235;285617
NST7-12;Fahrzeuge;2012;August;82421;787;16588;645809;10990;239499
NST7-12;Fahrzeuge;2012;September;63940;1233;16187;645863;12952;247705
NST7-12;Fahrzeuge;2012;Oktober;63713;449;23856;658707;12897;271365
NST7-12;Fahrzeuge;2012;November;49953;294;19162;595921;11249;255546
NST7-12;Fahrzeuge;2012;Dezember;41436;530;21102;564113;15756;235129
NST7-12;Fahrzeuge;2013;Januar;46426;419;17249;494137;11175;233672
NST7-12;Fahrzeuge;2013;Februar;44317;1191;26605;611808;15258;254357
NST7-12;Fahrzeuge;2013;März;64197;1036;18485;684482;17227;253616
NST7-12;Fahrzeuge;2013;April;75655;2021;24307;703339;14814;259642
NST7-12;Fahrzeuge;2013;Mai;81363;847;19853;676024;14057;251669
NST7-12;Fahrzeuge;2013;Juni;73867;1199;16813;628183;10650;255598
NST7-12;Fahrzeuge;2013;Juli;83448;1125;22842;690225;16407;254510
NST7-12;Fahrzeuge;2013;August;88539;677;16835;620722;11636;225721
NST7-12;Fahrzeuge;2013;September;69417;993;20883;699838;15724;251255
NST7-12;Fahrzeuge;2013;Oktober;68198;585;14460;732717;12558;263037
NST7-12;Fahrzeuge;2013;November;48709;706;19959;690609;13140;232044
NST7-12;Fahrzeuge;2013;Dezember;44532;370;18779;629922;15922;201458
NST7-12;Fahrzeuge;2014;Januar;41455;2523;10009;536166;9455;228453
NST7-12;Fahrzeuge;2014;Februar;52755;714;15470;615790;28398;291808
NST7-12;Fahrzeuge;2014;März;67744;702;13421;712022;12803;337762
NST7-12;Fahrzeuge;2014;April;83625;1800;11858;690723;15616;326958
NST7-12;Fahrzeuge;2014;Mai;93352;2368;15387;690956;25822;345650
NST7-12;Fahrzeuge;2014;Juni;81288;1371;14124;605030;24179;323565
NST7-12;Fahrzeuge;2014;Juli;82160;963;13210;636880;11967;320098
NST7-12;Fahrzeuge;2014;August;87363;1139;15112;516194;24930;313109
NST7-12;Fahrzeuge;2014;September;70550;602;10074;578589;16879;290117
NST7-12;Fahrzeuge;2014;Oktober;68239;1095;17203;648446;16850;335228
NST7-12;Fahrzeuge;2014;November;54511;1637;14945;640380;12676;242996
NST7-12;Fahrzeuge;2014;Dezember;49699;705;10568;602470;23061;230846
NST7-12;Fahrzeuge;2015;Januar;42348;2716;9690;453071;23003;238378
NST7-12;Fahrzeuge;2015;Februar;50230;6529;8820;623096;5599;211671
NST7-12;Fahrzeuge;2015;März;69288;638;12643;693242;13777;290618
NST7-12;Fahrzeuge;2015;April;76234;601;8017;622471;5884;263346
NST7-12;Fahrzeuge;2015;Mai;80395;577;8339;642393;24956;242515
NST7-12;Fahrzeuge;2015;Juni;73916;317;8393;620763;27284;232163
NST7-12;Fahrzeuge;2015;Juli;85718;4229;5554;663183;13667;303778
NST7-12;Fahrzeuge;2015;August;87214;3585;8157;492992;11065;258694
NST7-12;Fahrzeuge;2015;September;75834;417;8832;602919;16853;276386
NST7-12;Fahrzeuge;2015;Oktober;66033;387;7881;632270;22292;241682
NST7-12;Fahrzeuge;2015;November;50880;252;7086;603183;6401;257126
NST7-12;Fahrzeuge;2015;Dezember;55612;554;7535;537470;15023;268382
NST7-12;Fahrzeuge;2016;Januar;45325;285;3656;393292;3591;195695
NST7-12;Fahrzeuge;2016;Februar;52058;1826;6536;528435;6286;208272
NST7-12;Fahrzeuge;2016;März;74885;3289;4955;557979;5541;236846
NST7-12;Fahrzeuge;2016;April;72800;5181;2988;581826;2580;225272
NST7-12;Fahrzeuge;2016;Mai;85874;3512;5816;551997;8288;259288
NST7-12;Fahrzeuge;2016;Juni;76080;3580;3449;587247;3837;250979
NST7-12;Fahrzeuge;2016;Juli;82865;2623;3845;491335;4299;214775
NST7-12;Fahrzeuge;2016;August;104637;1334;4918;494867;9633;191587
NST7-12;Fahrzeuge;2016;September;75127;2166;4581;532237;5539;216063
NST7-12;Fahrzeuge;2016;Oktober;76304;3738;6494;533324;5035;220892
NST7-12;Fahrzeuge;2016;November;60691;2715;6295;736974;8247;311899
