buisnesstype,date,Originalwerte
"Hotels, Gasthöfe und Pensionen",2004-07,"108,3"
"Hotels, Gasthöfe und Pensionen",2004-08,"109,4"
"Hotels, Gasthöfe und Pensionen",2004-09,"126,6"
"Hotels, Gasthöfe und Pensionen",2004-10,"119,1"
"Hotels, Gasthöfe und Pensionen",2004-11,"95,4"
"Hotels, Gasthöfe und Pensionen",2004-12,"93,3"
"Hotels, Gasthöfe und Pensionen",2005-01,"77,7"
"Hotels, Gasthöfe und Pensionen",2005-02,"80,4"
"Hotels, Gasthöfe und Pensionen",2005-03,"89,4"
"Hotels, Gasthöfe und Pensionen",2005-04,99
"Hotels, Gasthöfe und Pensionen",2005-05,"111,5"
"Hotels, Gasthöfe und Pensionen",2005-06,"109,2"
"Hotels, Gasthöfe und Pensionen",2005-07,"105,3"
"Hotels, Gasthöfe und Pensionen",2005-08,"109,2"
"Hotels, Gasthöfe und Pensionen",2005-09,"124,8"
"Hotels, Gasthöfe und Pensionen",2005-10,116
"Hotels, Gasthöfe und Pensionen",2005-11,"91,1"
"Hotels, Gasthöfe und Pensionen",2005-12,"95,9"
"Hotels, Gasthöfe und Pensionen",2006-01,"79,2"
"Hotels, Gasthöfe und Pensionen",2006-02,"81,4"
"Hotels, Gasthöfe und Pensionen",2006-03,"92,9"
"Hotels, Gasthöfe und Pensionen",2006-04,"96,6"
"Hotels, Gasthöfe und Pensionen",2006-05,"118,2"
"Hotels, Gasthöfe und Pensionen",2006-06,"113,6"
"Hotels, Gasthöfe und Pensionen",2006-07,"112,3"
"Hotels, Gasthöfe und Pensionen",2006-08,"108,4"
"Hotels, Gasthöfe und Pensionen",2006-09,"128,7"
"Hotels, Gasthöfe und Pensionen",2006-10,"118,4"
"Hotels, Gasthöfe und Pensionen",2006-11,"90,7"
"Hotels, Gasthöfe und Pensionen",2006-12,"99,8"
"Hotels, Gasthöfe und Pensionen",2007-01,"79,4"
"Hotels, Gasthöfe und Pensionen",2007-02,"82,6"
"Hotels, Gasthöfe und Pensionen",2007-03,"97,4"
"Hotels, Gasthöfe und Pensionen",2007-04,101
"Hotels, Gasthöfe und Pensionen",2007-05,"115,2"
"Hotels, Gasthöfe und Pensionen",2007-06,"111,6"
"Hotels, Gasthöfe und Pensionen",2007-07,"109,5"
"Hotels, Gasthöfe und Pensionen",2007-08,"111,7"
"Hotels, Gasthöfe und Pensionen",2007-09,"124,3"
"Hotels, Gasthöfe und Pensionen",2007-10,"121,2"
"Hotels, Gasthöfe und Pensionen",2007-11,"96,1"
"Hotels, Gasthöfe und Pensionen",2007-12,"100,4"
"Hotels, Gasthöfe und Pensionen",2008-01,"81,1"
