GENESIS-Tabelle: 45212-0004
Umsatz im Einzelhandel (real/nominal) (Messzahlen und;;;;;
Veränderungsraten): Deutschland, Monate/Quartale/Halbjahre,;;;;;
Wirtschaftszweige;;;;;
Monatsstatistik im Einzelhandel;;;;;
Deutschland;;;;;
;;;;Preisarten;Preisarten
;;;;in konstanten Preisen;in konstanten Preisen
;;;;Umsatz;Veränderung zur Vorjahresperiode
;;;;2015=100;in (%)
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2000;Juni;89,9;-1,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2000;Juli;92,8;-2,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2000;August;94,0;+4,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2000;September;94,6;+2,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2000;Oktober;98,0;-1,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2000;November;103,3;+0,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2000;Dezember;118,8;-1,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2001;Januar;91,3;+6,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2001;Februar;84,7;-4,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2001;März;100,0;+1,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2001;April;96,2;+0,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2001;Mai;98,7;-1,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2001;Juni;91,9;+2,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2001;Juli;93,6;+0,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2001;August;94,1;+0,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2001;September;92,4;-2,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2001;Oktober;99,1;+1,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2001;November;104,8;+1,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2001;Dezember;116,7;-1,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2002;Januar;86,8;-4,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2002;Februar;81,7;-3,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2002;März;95,6;-4,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2002;April;94,7;-1,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2002;Mai;94,1;-4,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2002;Juni;88,6;-3,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2002;Juli;94,7;+1,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2002;August;92,1;-2,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2002;September;91,8;-0,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2002;Oktober;99,7;+0,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2002;November;100,8;-3,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2002;Dezember;113,6;-2,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2003;Januar;86,3;-0,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2003;Februar;81,2;-0,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2003;März;92,2;-3,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2003;April;95,5;+0,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2003;Mai;95,1;+1,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2003;Juni;87,0;-1,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2003;Juli;93,8;-1,0
