GENESIS-Tabelle: 45213-0004;;;;;;;
Umsatz im Gastgewerbe (real/nominal) (Messzahlen und;;;;;;;
Veränderungsraten): Deutschland, Monate/Quartale/Halbjahre,;;;;;;;
Wirtschaftszweige;;;;;;;
Monatsstatistik im Gastgewerbe;;;;;;;
Deutschland;;;;;;;
;;;;Preisarten;Preisarten;Preisarten;Preisarten
;;;;in konstanten Preisen;in konstanten Preisen;in jeweiligen Preisen;in jeweiligen Preisen
;;;;Umsatz;Veränderung zur Vorjahresperiode;Umsatz;Veränderung zur Vorjahresperiode
;;;;2015=100;in (%);2015=100;in (%)
WZ08-55;Beherbergung;2003;September;124,6;-8,5;97;-7
WZ08-55;Beherbergung;2003;Oktober;118,5;-4,3;92;-2,6
WZ08-55;Beherbergung;2003;November;94,5;-3,9;72,7;-2,9
WZ08-55;Beherbergung;2003;Dezember;94,6;-0,1;75,3;0,9
WZ08-55;Beherbergung;2004;Januar;79,1;-4,4;61,2;-3,5
WZ08-55;Beherbergung;2004;Februar;85,8;1,2;66,7;1,7
WZ08-55;Beherbergung;2004;März;98,2;1,1;76,2;2
WZ08-55;Beherbergung;2004;April;100,7;2,9;78;3,2
WZ08-55;Beherbergung;2004;Mai;121,2;2,5;94,4;3,5
WZ08-55;Beherbergung;2004;Juni;113;-1,5;88,2;-0,8
WZ08-55;Beherbergung;2004;Juli;110,7;1,6;87,3;2,2
WZ08-55;Beherbergung;2004;August;112,3;-0,1;88,6;0,6
WZ08-55;Beherbergung;2004;September;127,1;2;99,7;2,8
WZ08-55;Beherbergung;2004;Oktober;118,7;0,2;92,4;0,4
WZ08-55;Beherbergung;2004;November;94,1;-0,4;72,7;-
WZ08-55;Beherbergung;2004;Dezember;91,8;-3;73,7;-2,1
WZ08-55;Beherbergung;2005;Januar;79,3;0,3;64,8;5,9
WZ08-55;Beherbergung;2005;Februar;80,5;-6,2;64,9;-2,7
WZ08-55;Beherbergung;2005;März;90,5;-7,8;73,8;-3,1
WZ08-55;Beherbergung;2005;April;99,4;-1,3;80,2;2,8
WZ08-55;Beherbergung;2005;Mai;112,7;-7;90,5;-4,1
WZ08-55;Beherbergung;2005;Juni;110,3;-2,4;89,6;1,6
WZ08-55;Beherbergung;2005;Juli;108,5;-2;88,1;0,9
WZ08-55;Beherbergung;2005;August;112,2;-0,1;91;2,7
WZ08-55;Beherbergung;2005;September;125,6;-1,2;102,5;2,8
WZ08-55;Beherbergung;2005;Oktober;116;-2,3;93,8;1,5
WZ08-55;Beherbergung;2005;November;90,3;-4;73,2;0,7
WZ08-55;Beherbergung;2005;Dezember;94,1;2,5;76,3;3,5
WZ08-55;Beherbergung;2006;Januar;79,5;0,3;64,3;-0,8
WZ08-55;Beherbergung;2006;Februar;82,1;2;66,1;1,8
WZ08-55;Beherbergung;2006;März;93,1;2,9;75,6;2,4
WZ08-55;Beherbergung;2006;April;97,6;-1,8;78,5;-2,1
WZ08-55;Beherbergung;2006;Mai;118,4;5,1;96,7;6,9
WZ08-55;Beherbergung;2006;Juni;115,1;4,4;97,8;9,2
WZ08-55;Beherbergung;2006;Juli;115,2;6,2;95,3;8,2
WZ08-55;Beherbergung;2006;August;111,3;-0,8;91,5;0,5
WZ08-55;Beherbergung;2006;September;129,6;3,2;108;5,4
WZ08-55;Beherbergung;2006;Oktober;118,4;2,1;96,8;3,2
WZ08-55;Beherbergung;2006;November;89,4;-1;77;5,2
WZ08-55;Beherbergung;2006;Dezember;98,3;4,5;81,1;6,3
WZ08-55;Beherbergung;2007;Januar;80,9;1,8;65,5;1,9
WZ08-55;Beherbergung;2007;Februar;82,3;0,2;66,7;0,9
WZ08-55;Beherbergung;2007;März;97,9;5,2;80,4;6,3
WZ08-55;Beherbergung;2007;April;101,8;4,3;82,9;5,6
WZ08-55;Beherbergung;2007;Mai;115,7;-2,3;94,4;-2,4
WZ08-55;Beherbergung;2007;Juni;113,1;-1,7;94,9;-3
WZ08-55;Beherbergung;2007;Juli;112,2;-2,6;92,5;-2,9
WZ08-55;Beherbergung;2007;August;114,6;3;94,1;2,8
WZ08-55;Beherbergung;2007;September;124,6;-3,9;106;-1,9
WZ08-55;Beherbergung;2007;Oktober;120,8;2;99,6;2,9
WZ08-55;Beherbergung;2007;November;94,7;5,9;80,3;4,3
WZ08-55;Beherbergung;2007;Dezember;98,1;-0,2;81,3;0,2
WZ08-55;Beherbergung;2008;Januar;81,4;0,6;66,7;1,8
WZ08-55;Beherbergung;2008;Februar;86,7;5,3;72;7,9
WZ08-55;Beherbergung;2008;März;91;-7;76,8;-4,5
WZ08-55;Beherbergung;2008;April;102,3;0,5;85,7;3,4
WZ08-55;Beherbergung;2008;Mai;118,6;2,5;98,9;4,8
WZ08-55;Beherbergung;2008;Juni;113,3;0,2;95,4;0,5
WZ08-55;Beherbergung;2008;Juli;111,2;-0,9;93,8;1,4
WZ08-55;Beherbergung;2008;August;113,2;-1,2;95;1
WZ08-55;Beherbergung;2008;September;123,5;-0,9;106,4;0,4
WZ08-55;Beherbergung;2008;Oktober;115,1;-4,7;98,6;-1
WZ08-55;Beherbergung;2008;November;91,3;-3,6;77,1;-4
WZ08-55;Beherbergung;2008;Dezember;91,3;-6,9;77,7;-4,4
WZ08-55;Beherbergung;2009;Januar;71,5;-12,2;61,9;-7,2
WZ08-55;Beherbergung;2009;Februar;74,3;-14,3;63,9;-11,3
WZ08-55;Beherbergung;2009;März;84,5;-7,1;72,5;-5,6
WZ08-55;Beherbergung;2009;April;87,9;-14,1;75,1;-12,4
WZ08-55;Beherbergung;2009;Mai;105,7;-10,9;91,5;-7,5
WZ08-55;Beherbergung;2009;Juni;102,4;-9,6;88,1;-7,7
WZ08-55;Beherbergung;2009;Juli;105,4;-5,2;90,9;-3,1
WZ08-55;Beherbergung;2009;August;108;-4,6;92,9;-2,2
WZ08-55;Beherbergung;2009;September;113,2;-8,3;98;-7,9
WZ08-55;Beherbergung;2009;Oktober;105,5;-8,3;91,3;-7,4
WZ08-55;Beherbergung;2009;November;85;-6,9;72,9;-5,4
WZ08-55;Beherbergung;2009;Dezember;87,6;-4,1;75,7;-2,6
WZ08-55;Beherbergung;2010;Januar;69,3;-3,1;63,1;1,9
WZ08-55;Beherbergung;2010;Februar;73,1;-1,6;66,1;3,4
WZ08-55;Beherbergung;2010;März;83;-1,8;75,4;4
WZ08-55;Beherbergung;2010;April;91,1;3,6;83,2;10,8
WZ08-55;Beherbergung;2010;Mai;101,7;-3,8;92,9;1,5
WZ08-55;Beherbergung;2010;Juni;103,7;1,3;94,6;7,4
WZ08-55;Beherbergung;2010;Juli;108;2,5;98,1;7,9
WZ08-55;Beherbergung;2010;August;106,8;-1,1;97;4,4
WZ08-55;Beherbergung;2010;September;116,8;3,2;107,4;9,6
WZ08-55;Beherbergung;2010;Oktober;110,3;4,5;101;10,6
WZ08-55;Beherbergung;2010;November;88,8;4,5;80,9;11
WZ08-55;Beherbergung;2010;Dezember;87,5;-0,1;79,3;4,8
WZ08-55;Beherbergung;2011;Januar;73,4;5,9;66,7;5,7
WZ08-55;Beherbergung;2011;Februar;75,5;3,3;69,1;4,5
WZ08-55;Beherbergung;2011;März;87;4,8;79,6;5,6
WZ08-55;Beherbergung;2011;April;92,2;1,2;83,8;0,7
WZ08-55;Beherbergung;2011;Mai;110;8,2;101,7;9,5
WZ08-55;Beherbergung;2011;Juni;106,8;3;98,3;3,9
WZ08-55;Beherbergung;2011;Juli;109,4;1,3;101,1;3,1
WZ08-55;Beherbergung;2011;August;106,3;-0,5;97,6;0,6
WZ08-55;Beherbergung;2011;September;116,9;0,1;109,7;2,1
WZ08-55;Beherbergung;2011;Oktober;110,4;0,1;103,8;2,8
WZ08-55;Beherbergung;2011;November;90;1,4;83,5;3,2
WZ08-55;Beherbergung;2011;Dezember;90,4;3,3;83,3;5
WZ08-55;Beherbergung;2012;Januar;74,2;1,1;68,5;2,7
WZ08-55;Beherbergung;2012;Februar;78,9;4,5;72,8;5,4
WZ08-55;Beherbergung;2012;März;90,7;4,3;85;6,8
WZ08-55;Beherbergung;2012;April;93,5;1,4;86,9;3,7
WZ08-55;Beherbergung;2012;Mai;111,6;1,5;104,8;3
WZ08-55;Beherbergung;2012;Juni;108,3;1,4;102,3;4,1
WZ08-55;Beherbergung;2012;Juli;108,9;-0,5;101,5;0,4
WZ08-55;Beherbergung;2012;August;111,6;5;104;6,6
WZ08-55;Beherbergung;2012;September;119,8;2,5;114,9;4,7
WZ08-55;Beherbergung;2012;Oktober;109,4;-0,9;103,7;-0,1
WZ08-55;Beherbergung;2012;November;90,7;0,8;85,3;2,2
WZ08-55;Beherbergung;2012;Dezember;91;0,7;84,7;1,7
WZ08-55;Beherbergung;2013;Januar;74,6;0,5;70,4;2,8
WZ08-55;Beherbergung;2013;Februar;76,2;-3,4;72;-1,1
WZ08-55;Beherbergung;2013;März;87,3;-3,7;83,3;-2
WZ08-55;Beherbergung;2013;April;94,5;1,1;90,1;3,7
WZ08-55;Beherbergung;2013;Mai;102,8;-7,9;97,8;-6,7
WZ08-55;Beherbergung;2013;Juni;105,5;-2,6;101,8;-0,5
WZ08-55;Beherbergung;2013;Juli;109;0,1;104;2,5
WZ08-55;Beherbergung;2013;August;111,7;0,1;106,5;2,4
WZ08-55;Beherbergung;2013;September;116,7;-2,6;113,9;-0,9
WZ08-55;Beherbergung;2013;Oktober;112;2,4;108,2;4,3
WZ08-55;Beherbergung;2013;November;89,6;-1,2;86,2;1,1
WZ08-55;Beherbergung;2013;Dezember;88,7;-2,5;84,8;0,1
WZ08-55;Beherbergung;2014;Januar;74,4;-0,3;71,3;1,3
WZ08-55;Beherbergung;2014;Februar;75,2;-1,3;73;1,4
WZ08-55;Beherbergung;2014;März;86,5;-0,9;84,4;1,3
WZ08-55;Beherbergung;2014;April;90,6;-4,1;87,6;-2,8
WZ08-55;Beherbergung;2014;Mai;111,1;8,1;108,6;11
WZ08-55;Beherbergung;2014;Juni;106,8;1,2;104,7;2,8
WZ08-55;Beherbergung;2014;Juli;109,5;0,5;106,9;2,8
WZ08-55;Beherbergung;2014;August;113,8;1,9;110,8;4
WZ08-55;Beherbergung;2014;September;121,2;3,9;120,6;5,9
WZ08-55;Beherbergung;2014;Oktober;112,2;0,2;111,8;3,3
WZ08-55;Beherbergung;2014;November;92,4;3,1;91,3;5,9
WZ08-55;Beherbergung;2014;Dezember;90,4;1,9;88,7;4,6
WZ08-55;Beherbergung;2015;Januar;75,1;0,9;73,9;3,6
WZ08-55;Beherbergung;2015;Februar;78;3,7;77,2;5,8
WZ08-55;Beherbergung;2015;März;88,8;2,7;88,7;5,1
WZ08-55;Beherbergung;2015;April;91,9;1,4;91,9;4,9
WZ08-55;Beherbergung;2015;Mai;108,9;-2;108,7;0,1
WZ08-55;Beherbergung;2015;Juni;112,5;5,3;113,1;8
WZ08-55;Beherbergung;2015;Juli;112,6;2,8;111,9;4,7
WZ08-55;Beherbergung;2015;August;115,3;1,3;114,1;3
WZ08-55;Beherbergung;2015;September;119,3;-1,6;121,1;0,4
WZ08-55;Beherbergung;2015;Oktober;113,3;1;114,7;2,6
WZ08-55;Beherbergung;2015;November;92,9;0,5;92,9;1,8
WZ08-55;Beherbergung;2015;Dezember;91,7;1,4;91,7;3,4
WZ08-55;Beherbergung;2016;Januar;76,6;2;76,7;3,8
WZ08-55;Beherbergung;2016;Februar;80,7;3,5;80,7;4,5
WZ08-55;Beherbergung;2016;März;91,7;3,3;92,2;3,9
WZ08-55;Beherbergung;2016;April;99,4;8,2;100,5;9,4
WZ08-55;Beherbergung;2016;Mai;108,6;-0,3;110,7;1,8
WZ08-55;Beherbergung;2016;Juni;111,1;-1,2;113,7;0,5
WZ08-55;Beherbergung;2016;Juli;115,2;2,3;116,8;4,4
WZ08-55;Beherbergung;2016;August;114,6;-0,6;116;1,7
WZ08-55;Beherbergung;2016;September;125,6;5,3;130,6;7,8
WZ08-55;Beherbergung;2016;Oktober;114,7;1,2;117,8;2,7
WZ08-55;Beherbergung;2016;November;93,2;0,3;95,4;2,7
WZ08-55;Beherbergung;2016;Dezember;92,6;1;94,2;2,7
WZ08-55;Beherbergung;2017;Januar;78,4;2,3;79,5;3,7
WZ08-55;Beherbergung;2017;Februar;79,1;-2;80,8;0,1
WZ08-55;Beherbergung;2017;März;96,2;4,9;98,4;6,7
WZ08-55;Beherbergung;2017;April;97,1;-2,3;99,4;-1,1
WZ08-55;Beherbergung;2017;Mai;116,1;6,9;120,2;8,6
WZ08-55;Beherbergung;2017;Juni;111,4;0,3;115,9;1,9
WZ08-55;Beherbergung;2017;Juli;115,7;0,4;120,8;3,4
WZ08-55;Beherbergung;2017;August;112,2;-2,1;116,6;0,5
WZ08-55;Beherbergung;2017;September;124,4;-1;131,5;0,7
WZ08-55;Beherbergung;2017;Oktober;114,6;-0,1;120,3;2,1
