Time,Date,weekday,week,traffic_congestion_hamburg,traffic_diffRatio_to2019_hamburg,traffic_congestion_berlin,traffic_diffRatio_to2019_berlin,traffic_congestion_wiesbaden,traffic_diffRatio_to2019_wiesbaden,traffic_congestion_munich,traffic_diffRatio_to2019_munich,traffic_congestion_nuremberg,traffic_diffRatio_to2019_nuremberg,traffic_congestion_stuttgart,traffic_diffRatio_to2019_stuttgart,traffic_congestion_bonn,traffic_diffRatio_to2019_bonn,traffic_congestion_kassel,traffic_diffRatio_to2019_kassel,traffic_congestion_bremen,traffic_diffRatio_to2019_bremen,traffic_congestion_cologne,traffic_diffRatio_to2019_cologne,traffic_congestion_kiel,traffic_diffRatio_to2019_kiel,traffic_congestion_dresden,traffic_diffRatio_to2019_dresden,traffic_congestion_dusseldorf,traffic_diffRatio_to2019_dusseldorf,traffic_congestion_leipzig,traffic_diffRatio_to2019_leipzig,traffic_congestion_freiburg,traffic_diffRatio_to2019_freiburg,traffic_congestion_karlsruhe,traffic_diffRatio_to2019_karlsruhe,traffic_congestion_augsburg,traffic_diffRatio_to2019_augsburg,traffic_congestion_monchengladbach,traffic_diffRatio_to2019_monchengladbach,traffic_congestion_mannheim,traffic_diffRatio_to2019_mannheim,traffic_congestion_munster,traffic_diffRatio_to2019_munster,traffic_congestion_hannover,traffic_diffRatio_to2019_hannover,traffic_congestion_bielefeld,traffic_diffRatio_to2019_bielefeld,traffic_congestion_wuppertal,traffic_diffRatio_to2019_wuppertal,traffic_congestion_ruhr-region-west,traffic_diffRatio_to2019_ruhr-region-west,traffic_congestion_ruhr-region-east,traffic_diffRatio_to2019_ruhr-region-east
2020-02-05,2020-02,Wed,6 2020,41,-0.023809523809523808,34,-0.1282051282051282,43,-0.044444444444444446,34,-0.17073170731707318,34,-0.19047619047619047,42,0.024390243902439025,48,0.14285714285714285,24,-0.14285714285714285,42,0.13513513513513514,40,0.02564102564102564,32,-0.15789473684210525,33,-0.05714285714285714,33,-0.08333333333333333,31,0.03333333333333333,31,-0.16216216216216217,30,-0.16666666666666666,30,0.0,32,0.06666666666666667,31,0.03333333333333333,32,0.06666666666666667,31,-0.06060606060606061,31,0.14814814814814814,29,0.11538461538461539,38,0.15151515151515152,29,0.0
2020-02-06,2020-02,Thu,6 2020,39,-0.09302325581395349,33,-0.175,36,-0.2,38,-0.05,33,-0.21428571428571427,45,0.125,40,-0.047619047619047616,21,-0.2222222222222222,35,-0.10256410256410256,36,-0.05263157894736842,33,-0.10810810810810811,35,0.0,29,-0.17142857142857143,31,0.03333333333333333,34,-0.02857142857142857,26,-0.2777777777777778,28,-0.034482758620689655,32,0.06666666666666667,34,0.0967741935483871,31,0.06896551724137931,31,-0.06060606060606061,28,0.0,25,-0.038461538461538464,32,-0.030303030303030304,28,-0.06666666666666667
2020-02-07,2020-02,Fri,6 2020,41,0.0,31,-0.16216216216216217,36,-0.1,33,-0.029411764705882353,33,-0.13157894736842105,34,0.0,37,0.05714285714285714,20,-0.25925925925925924,33,-0.23255813953488372,40,0.14285714285714285,32,-0.13513513513513514,33,-0.05714285714285714,32,0.06666666666666667,29,-0.03333333333333333,33,-0.05714285714285714,23,-0.28125,27,-0.1,27,-0.03571428571428571,29,0.0,28,0.0,26,-0.16129032258064516,31,0.03333333333333333,26,0.08333333333333333,33,0.06451612903225806,29,0.0
2020-02-08,2020-02,Sat,6 2020,23,-0.11538461538461539,21,-0.045454545454545456,24,-0.07692307692307693,23,0.15,21,-0.125,26,0.13043478260869565,16,-0.2,10,-0.3333333333333333,19,-0.09523809523809523,17,-0.15,21,-0.125,19,-0.13636363636363635,15,-0.16666666666666666,18,-0.1,25,0.041666666666666664,11,-0.3888888888888889,15,-0.21052631578947367,13,-0.3157894736842105,19,-0.09523809523809523,19,0.05555555555555555,16,-0.1111111111111111,18,0.0,13,-0.07142857142857142,16,0.0,16,-0.058823529411764705
2020-02-09,2020-02,Sun,6 2020,12,-0.45454545454545453,12,-0.25,11,-0.3888888888888889,15,0.0,9,-0.3076923076923077,13,-0.07142857142857142,8,-0.42857142857142855,4,-0.6363636363636364,9,-0.4,8,-0.42857142857142855,15,-0.16666666666666666,12,-0.25,7,-0.46153846153846156,11,-0.08333333333333333,11,-0.21428571428571427,3,-0.7692307692307693,7,-0.3,6,-0.5384615384615384,9,-0.25,11,0.1,7,-0.3,12,0.2,8,-0.2,7,-0.3,8,-0.2
2020-02-10,2020-02,Mon,7 2020,42,0.024390243902439025,33,-0.15384615384615385,28,-0.3488372093023256,22,-0.40540540540540543,28,-0.3170731707317073,34,0.0,28,-0.28205128205128205,18,-0.3076923076923077,36,0.02857142857142857,25,-0.2647058823529412,36,-0.05263157894736842,28,-0.24324324324324326,23,-0.30303030303030304,28,-0.0967741935483871,30,-0.0625,23,-0.14814814814814814,21,-0.3,22,-0.26666666666666666,32,0.06666666666666667,27,-0.06896551724137931,31,-0.03125,27,-0.03571428571428571,26,0.04,26,-0.1875,25,-0.13793103448275862
2020-02-11,2020-02,Tue,7 2020,46,0.06976744186046512,37,-0.05128205128205128,40,-0.1111111111111111,43,0.04878048780487805,40,-0.024390243902439025,45,0.15384615384615385,47,0.09302325581395349,31,0.03333333333333333,47,0.2702702702702703,55,0.4864864864864865,45,0.15384615384615385,30,-0.1891891891891892,36,0.02857142857142857,29,-0.06451612903225806,32,-0.08571428571428572,30,-0.0625,27,-0.12903225806451613,30,0.0,35,0.16666666666666666,35,0.20689655172413793,33,0.0,32,0.10344827586206896,27,0.038461538461538464,38,0.15151515151515152,32,0.06666666666666667
2020-02-12,2020-02,Wed,7 2020,44,0.047619047619047616,35,-0.10256410256410256,37,-0.17777777777777778,40,-0.024390243902439025,43,0.023809523809523808,40,-0.024390243902439025,38,-0.09523809523809523,24,-0.14285714285714285,39,0.05405405405405406,41,0.05128205128205128,41,0.07894736842105263,28,-0.2,36,0.0,27,-0.1,32,-0.13513513513513514,42,0.16666666666666666,27,-0.1,30,0.0,31,0.03333333333333333,33,0.1,39,0.18181818181818182,30,0.1111111111111111,25,-0.038461538461538464,38,0.15151515151515152,33,0.13793103448275862
2020-02-13,2020-02,Thu,7 2020,51,0.18604651162790697,39,-0.025,41,-0.08888888888888889,39,-0.025,47,0.11904761904761904,49,0.225,38,-0.09523809523809523,26,-0.037037037037037035,42,0.07692307692307693,44,0.15789473684210525,49,0.32432432432432434,28,-0.2,39,0.11428571428571428,29,-0.03333333333333333,38,0.08571428571428572,39,0.08333333333333333,31,0.06896551724137931,36,0.2,39,0.25806451612903225,32,0.10344827586206896,38,0.15151515151515152,41,0.4642857142857143,35,0.34615384615384615,58,0.7575757575757576,39,0.3
2020-02-14,2020-02,Fri,7 2020,39,-0.04878048780487805,38,0.02702702702702703,35,-0.125,43,0.2647058823529412,40,0.05263157894736842,37,0.08823529411764706,31,-0.11428571428571428,23,-0.14814814814814814,37,-0.13953488372093023,37,0.05714285714285714,34,-0.08108108108108109,28,-0.2,33,0.1,29,-0.03333333333333333,32,-0.08571428571428572,31,-0.03125,28,-0.06666666666666667,25,-0.10714285714285714,30,0.034482758620689655,29,0.03571428571428571,32,0.03225806451612903,32,0.06666666666666667,29,0.20833333333333334,33,0.06451612903225806,32,0.10344827586206896
