GENESIS-Tabelle: 43311-0002
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;;
Brennstoffeinsatz: Deutschland, Monate, Energieträger;;;;;;
Monatserhebung über die Elektrizitätsversorgung;;;;;;
Deutschland;;;;;;
;;;Elektrizitätserzeugung (brutto);Elektrizitätserzeugung (netto);Nettowärmeerzeugung;Brennstoffeinsatz
;;;MWh;MWh;MWh;GJ
2002;September;Solarthermie;-;-;-;-
2002;September;Feste biogene Stoffe;20950;19209;-;222011
2002;September;Flüssige biogene Stoffe;-;-;-;-
2002;September;Biogas;2655;2487;-;10326
2002;September;Biomethan (Bioerdgas);-;-;-;-
2002;September;Klärgas;965;952;-;5277
2002;September;Deponiegas;9079;8739;-;51687
2002;September;Sonstige erneuerbare Energien;14809;13601;-;146548
2002;September;Klärschlamm;3067;2697;-;38319
2002;September;Abfall (Hausmüll, Industrie);318098;247352;-;4350319
2002;September;Abfall (Industrie);-;-;-;-
2002;September;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2002;September;Kernenergie;12126722;11497453;-;-
2002;September;Wärme;-;-;-;-
2002;September;Strom (Elektrokessel);-;-;-;-
2002;September;Sonstige Energieträger;3723;3127;-;35724
2002;September;Andere Speicher;-;-;-;-
2002;September;Insgesamt;40517235;37880983;-;18735954
2002;Oktober;Steinkohlen;10949612;10068131;-;98138822
2002;Oktober;Steinkohlenkoks;-;-;-;-
2002;Oktober;Steinkohlenbriketts;-;-;-;-
2002;Oktober;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2002;Oktober;Sonstige Steinkohlen;-;-;-;-
2002;Oktober;Rohbraunkohlen;13246184;12260916;-;127173241
2002;Oktober;Hartbraunkohlen;213296;194297;-;2132820
2002;Oktober;Braunkohlenbriketts;5373;4750;-;72613
2002;Oktober;Braunkohlenkoks;-;-;-;-
2002;Oktober;Wirbelschichtkohle;-;-;-;-
2002;Oktober;Staub- und Trockenkohle;48261;43648;-;301710
2002;Oktober;Sonstige Braunkohlen;15019;13846;-;131334
2002;Oktober;Dieselkraftstoff;423;405;-;4261
2002;Oktober;Heizöl, leicht;42300;38944;-;499421
2002;Oktober;Heizöl, schwer;51698;48019;-;563150
2002;Oktober;Flüssiggas;-;-;-;-
2002;Oktober;Raffineriegas;-;-;-;-
2002;Oktober;Petrolkoks;15587;13480;-;292406
2002;Oktober;Sonstige Mineralölprodukte;16467;15116;-;163333
2002;Oktober;Erdgas, Erdölgas;3694165;3554039;-;24015780
2002;Oktober;Grubengas;19699;17833;-;227936
2002;Oktober;Kokereigas;2418;2187;-;28116
2002;Oktober;Hochofengas;289636;269461;-;2845232
2002;Oktober;Sonstige hergestellte Gase;25197;23277;-;124786
2002;Oktober;Wasserstoff;-;-;-;-
