GENESIS-Tabelle: 43411-0001
Nettowärmeerzeugung, Brennstoffeinsatz, -bezug, -bestand:;;;;;
Deutschland, Jahre, Energieträger;;;;;
Erhebung über Erzeugung und Verwendung von Wärme;;;;;
Deutschland;;;;;
;;Nettowärmeerzeugung;Brennstoffeinsatz;Brennstoffbezug;Brennstoffbestand
2006;Klärschlamm;.;.;0;0
2006;Abfall (Hausmüll, Industrie);1385540;7314185;0;0
2006;Abfall (Industrie);0;0;0;0
2006;Abfall (Hausmüll, Siedlungsabfälle);0;0;0;0
2006;Kernenergie;x;x;x;x
2006;Wärme;0;0;0;0
2006;Sonstige Energieträger;229348;978394;0;0
2007;Steinkohlen;1264529;7074349;6993911;68160
2007;Steinkohlenkoks;.;.;.;.
2007;Steinkohlenbriketts;0;0;0;0
2007;Kohlenwertstoffe aus Steinkohle;0;0;0;0
2007;Sonstige Steinkohlen;.;.;.;.
2007;Rohbraunkohlen;.;.;.;.
2007;Hartbraunkohlen;0;0;0;0
2007;Braunkohlenbriketts;0;0;0;0
2007;Braunkohlenkoks;0;0;0;0
2007;Wirbelschichtkohle;0;0;0;0
2007;Staub- und Trockenkohle;148112;597492;478401;4811
2007;Sonstige Braunkohlen;0;0;0;0
2007;Dieselkraftstoff;0;0;0;0
2007;Heizöl, leicht;1212961;5214817;5716377;2598101
2007;Heizöl, schwer;71785;294222;317332;36522
2007;Flüssiggas;24226;106123;0;0
2007;Raffineriegas;0;0;0;0
2007;Petrolkoks;0;0;0;0
2007;Sonstige Mineralölprodukte;0;0;108591;11291
2007;Erdgas, Erdölgas;16238303;76718779;0;0
2007;Grubengas;.;.;0;0
2007;Kokereigas;.;.;0;0
2007;Hochofengas;0;0;0;0
2007;Sonstige hergestellte Gase;0;0;0;0
2007;Geothermie;.;x;x;x
2007;Solarthermie;0;x;x;x
2007;Feste biogene Stoffe;928434;6392837;0;0
2007;Flüssige biogene Stoffe;20359;199541;0;0
2007;Biogas;22144;226504;0;0
2007;Klärgas;7790;40522;0;0
2007;Deponiegas;41698;213546;0;0
2007;Sonstige erneuerbare Energien;.;.;0;0
2007;Klärschlamm;.;.;0;0
2007;Abfall (Hausmüll, Industrie);1398232;7288138;0;0
2007;Abfall (Industrie);0;0;0;0
2007;Abfall (Hausmüll, Siedlungsabfälle);0;0;0;0
2007;Kernenergie;x;x;x;x
2007;Wärme;0;0;0;0
2007;Sonstige Energieträger;477590;1916076;0;0
2008;Steinkohlen;786978;3256551;2400815;245677
2008;Steinkohlenkoks;.;.;.;.
2008;Steinkohlenbriketts;0;0;0;0
2008;Kohlenwertstoffe aus Steinkohle;0;0;0;0
2008;Sonstige Steinkohlen;.;.;.;.
2008;Rohbraunkohlen;0;0;0;0
2008;Hartbraunkohlen;0;0;0;0
2008;Braunkohlenbriketts;0;0;0;0
2008;Braunkohlenkoks;0;0;0;0
2008;Wirbelschichtkohle;0;0;0;0
2008;Staub- und Trockenkohle;276950;1123859;926909;11803
2008;Sonstige Braunkohlen;0;0;0;0
2008;Dieselkraftstoff;0;0;0;0
2008;Heizöl, leicht;1058604;5312164;4969867;10791549
2008;Heizöl, schwer;.;.;.;0
2008;Flüssiggas;932;4022;0;0
2008;Raffineriegas;0;0;0;0
2008;Petrolkoks;0;0;0;0
2008;Sonstige Mineralölprodukte;0;0;3926;11284
2008;Erdgas, Erdölgas;16608855;75379277;0;0
2008;Grubengas;57884;400042;0;0
2008;Kokereigas;.;.;0;0
2008;Hochofengas;.;.;0;0
2008;Sonstige hergestellte Gase;.;.;0;0
2008;Geothermie;.;x;x;x
2008;Solarthermie;0;x;x;x
2008;Feste biogene Stoffe;1006087;6640679;0;0
2008;Flüssige biogene Stoffe;27871;186376;0;0
2008;Biogas;14333;97846;0;0
2008;Klärgas;6432;35921;0;0
2008;Deponiegas;17833;90619;0;0
2008;Sonstige erneuerbare Energien;.;.;0;0
2008;Klärschlamm;.;.;0;0
2008;Abfall (Hausmüll, Industrie);1989490;16310843;0;0
2008;Abfall (Industrie);907667;10056875;0;0
2008;Abfall (Hausmüll, Siedlungsabfälle);1081823;6253968;0;0
2008;Kernenergie;x;x;x;x
2008;Wärme;0;0;0;0
