;;;Originalwerte
Hotels, Gasthöfe und Pensionen;1995;Januar;91,6
Hotels, Gasthöfe und Pensionen;1995;Februar;96,8
Hotels, Gasthöfe und Pensionen;1995;März;112,5
Hotels, Gasthöfe und Pensionen;1995;April;112,7
Hotels, Gasthöfe und Pensionen;1995;Mai;140,4
Hotels, Gasthöfe und Pensionen;1995;Juni;128
Hotels, Gasthöfe und Pensionen;1995;Juli;118,2
Hotels, Gasthöfe und Pensionen;1995;August;121,9
Hotels, Gasthöfe und Pensionen;1995;September;142,6
Hotels, Gasthöfe und Pensionen;1995;Oktober;139,3
Hotels, Gasthöfe und Pensionen;1995;November;106,7
Hotels, Gasthöfe und Pensionen;1995;Dezember;109,9
Hotels, Gasthöfe und Pensionen;1996;Januar;88,6
Hotels, Gasthöfe und Pensionen;1996;Februar;94,8
Hotels, Gasthöfe und Pensionen;1996;März;109,3
Hotels, Gasthöfe und Pensionen;1996;April;110,7
Hotels, Gasthöfe und Pensionen;1996;Mai;131,8
Hotels, Gasthöfe und Pensionen;1996;Juni;124,4
Hotels, Gasthöfe und Pensionen;1996;Juli;113,7
Hotels, Gasthöfe und Pensionen;1996;August;121,2
Hotels, Gasthöfe und Pensionen;1996;September;139,5
Hotels, Gasthöfe und Pensionen;1996;Oktober;133,4
Hotels, Gasthöfe und Pensionen;1996;November;105,1
Hotels, Gasthöfe und Pensionen;1996;Dezember;106,3
Hotels, Gasthöfe und Pensionen;1997;Januar;88,3
Hotels, Gasthöfe und Pensionen;1997;Februar;89,9
Hotels, Gasthöfe und Pensionen;1997;März;104,6
Hotels, Gasthöfe und Pensionen;1997;April;108,8
Hotels, Gasthöfe und Pensionen;1997;Mai;125
Hotels, Gasthöfe und Pensionen;1997;Juni;125,5
Hotels, Gasthöfe und Pensionen;1997;Juli;111
Hotels, Gasthöfe und Pensionen;1997;August;119,9
Hotels, Gasthöfe und Pensionen;1997;September;141,7
Hotels, Gasthöfe und Pensionen;1997;Oktober;133,8
Hotels, Gasthöfe und Pensionen;1997;November;103,6
Hotels, Gasthöfe und Pensionen;1997;Dezember;107,4
Hotels, Gasthöfe und Pensionen;1998;Januar;87,1
Hotels, Gasthöfe und Pensionen;1998;Februar;93
Hotels, Gasthöfe und Pensionen;1998;März;104,8
Hotels, Gasthöfe und Pensionen;1998;April;103,5
Hotels, Gasthöfe und Pensionen;1998;Mai;128,8
Hotels, Gasthöfe und Pensionen;1998;Juni;122,4
Hotels, Gasthöfe und Pensionen;1998;Juli;110,5
Hotels, Gasthöfe und Pensionen;1998;August;117,5
Hotels, Gasthöfe und Pensionen;1998;September;136,8
