;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen;Kurzarbeiter;Kurzarbeitende Betriebe
Insgesamt;2016;September;2607607;5,9;6,6;686797;46407;3128
Insgesamt;2016;Oktober;2539939;5,8;6,4;691372;50354;3125
Insgesamt;2016;November;2531975;5,7;6,4;681113;51865;3437
Insgesamt;2016;Dezember;2568273;5,8;6,5;658435;178230;25432
Insgesamt;2017;Januar;2777387;6,3;7;646991;370405;47274
Insgesamt;2017;Februar;2762095;6,3;6,9;674661;335227;42107
Insgesamt;2017;März;2662111;6;6,7;691924;216101;30117
Insgesamt;2017;April;2568612;5,8;6,5;705949;39227;2867
Insgesamt;2017;Mai;2497718;5,6;6,2;714398;36262;2733
Insgesamt;2017;Juni;2472642;5,5;6,1;730802;33304;2533
Insgesamt;2017;Juli;2517645;5,6;6,3;750346;29550;2318
Insgesamt;2017;August;2544845;5,7;6,3;765280;28057;2078
Insgesamt;2017;September;2448910;5,5;6,1;773105;27662;2115
Insgesamt;2017;Oktober;2388711;5,4;5,9;779712;26843;2072
Insgesamt;2017;November;2368411;5,3;5,9;772205;26391;2214
Insgesamt;2017;Dezember;2384961;5,3;5,9;761237;193600;29171
Insgesamt;2018;Januar;2570311;5,8;6,4;736231;287452;38920
Insgesamt;2018;Februar;2545936;5,7;6,3;764247;359311;47205
Insgesamt;2018;März;2458110;5,5;6,1;778158;327177;42685
Insgesamt;2018;April;2383752;5,3;5,9;784206;23236;1913
Insgesamt;2018;Mai;2315487;5,1;5,7;792637;20880;1721
Insgesamt;2018;Juni;2275787;5;5,6;805213;25225;1782
Insgesamt;2018;Juli;2324746;5,1;5,7;822582;22355;1684
Insgesamt;2018;August;2350876;5,2;5,8;827758;41019;1664
Insgesamt;2018;September;2256473;5;5,5;833835;42340;1705
Insgesamt;2018;Oktober;2203851;4,9;5,4;823900;45654;1772
Insgesamt;2018;November;2186109;4,8;5,4;807032;51270;1972
Insgesamt;2018;Dezember;2209546;4,9;5,4;781326;165992;23590
Insgesamt;2019;Januar;2405586;5,3;5,9;757714;354379;45002
Insgesamt;2019;Februar;2372700;5,3;5,8;783963;309540;39994
Insgesamt;2019;März;2301121;5,1;5,6;797455;245796;33510
Insgesamt;2019;April;2228876;4,9;5,5;795551;48739;2388
Insgesamt;2019;Mai;2235969;4,9;5,4;791694;53313;2488
